timestamp,cpu_util_experiment-baseline-with-latency-node-instance-2,io_read_experiment-baseline-with-latency-node-instance-2,io_write_experiment-baseline-with-latency-node-instance-2,iops_read_experiment-baseline-with-latency-node-instance-2,iops_write_experiment-baseline-with-latency-node-instance-2,cpu_util_experiment-baseline-with-latency-node-instance-3,io_read_experiment-baseline-with-latency-node-instance-3,io_write_experiment-baseline-with-latency-node-instance-3,iops_read_experiment-baseline-with-latency-node-instance-3,iops_write_experiment-baseline-with-latency-node-instance-3,cpu_util_experiment-baseline-with-latency-node-instance-1,io_read_experiment-baseline-with-latency-node-instance-1,io_write_experiment-baseline-with-latency-node-instance-1,iops_read_experiment-baseline-with-latency-node-instance-1,iops_write_experiment-baseline-with-latency-node-instance-1,cpu_util_experiment-baseline-with-latency-client-instance,io_read_experiment-baseline-with-latency-client-instance,io_write_experiment-baseline-with-latency-client-instance,iops_read_experiment-baseline-with-latency-client-instance,iops_write_experiment-baseline-with-latency-client-instance,cpu_util_experiment-baseline-with-latency-central-server-instance,io_read_experiment-baseline-with-latency-central-server-instance,io_write_experiment-baseline-with-latency-central-server-instance,iops_read_experiment-baseline-with-latency-central-server-instance,iops_write_experiment-baseline-with-latency-central-server-instance
2021-07-20 22:23:00+00:00,0.0588330804976825,0,953534,0,112,0.05768322342277088,0,897971,0,95,0.06208221750920018,3009,878968,0,106,0.01061093890293563,0,234585,0,47,0.0458725974584316,0,666896,0,59
2021-07-20 22:22:00+00:00,0.09179521972062805,0,1585892,0,195,0.0607919688687133,107191,1581891,2,192,0.07025710202471676,667820,1035675,20,116,0.10287216105856108,0,3055827,0,193,0.4042167831447638,1461143,6554297,54,408
2021-07-20 22:21:00+00:00,0.12522414347254576,0,1394913,0,171,0.11308892449856954,593225,1541866,10,194,0.1356944060089186,2909075,1854259,87,225,0.7550203093523842,0,1341981,0,83,0.612785677846342,1778414,7639108,65,470
2021-07-20 22:20:00+00:00,0.05799491849725768,0,694851,0,74,0.08150377579550155,18805,685833,0,66,0.06082517686513711,752,814777,0,91,0.007991293119398316,0,187251,0,35,0.04620193994859297,118393,563369,3,46
2021-07-20 22:19:00+00:00,0.057121674411159035,20895,1040662,1,123,0.05576001288023728,636214,981979,28,109,0.06258537005833867,3344,1078230,1,113,0.05375906250375805,910713,3357111,55,278,0.049414306319180895,107266,1558086,2,145
2021-07-20 22:18:00+00:00,0.08367785450842291,104240,2152375,3,276,0.10510315066766414,2945365,1868839,138,205,0.07493418176443355,95541,1924480,2,223,0.8910981268578196,404103,2377658,24,135,0.235024635392179,80035,3997306,5,270
2021-07-20 22:17:00+00:00,0.10997207440094786,70776,777859,2,86,0.0811671181041523,24446,774519,1,76,0.11823598103080238,424651,879441,7,98,0.005819392866522814,0,416070,0,10,0.3394681059987358,124012,3413702,8,198
2021-07-20 22:16:00+00:00,0.05824521275234909,107193,927163,1,99,0.05706110042991004,135298,894783,4,91,0.06443567163002227,0,1246944,0,158,0.0069886887274108744,0,189769,0,38,0.04636588991337001,33521,738800,2,77
2021-07-20 22:15:00+00:00,0.07755159261340812,746,1586793,0,177,0.06049359542511468,348516,1770287,14,195,0.06728888229714867,6018,1579695,0,184,0.04861266977354006,0,3016696,0,216,0.16035817741154307,1861,2741633,0,206
2021-07-20 22:14:00+00:00,0.10403541372285473,3350,1086095,1,134,0.09990881033327997,1937636,887083,80,91,0.11722570489391158,26750,1646443,2,208,0.8400576087781554,0,1355558,0,95,0.2288425976941492,2235,3141716,1,234
2021-07-20 22:13:00+00:00,0.058216358427597946,0,819848,0,92,0.07640468490590989,48568,743879,3,74,0.058830252734935584,0,869371,0,98,0.005713206391398273,0,23919,0,3,0.04564468730934597,0,614774,0,55
2021-07-20 22:12:00+00:00,0.05932103257337691,0,849110,0,85,0.056672656971590143,223787,938927,9,99,0.06940980826828991,198572,996085,12,112,0.04299265248930576,0,2073918,0,151,0.0496661866106649,0,1257666,0,136
2021-07-20 22:11:00+00:00,0.07785500896340854,0,1730286,0,192,0.0976647310204773,1254782,1757199,53,191,0.11532629190615751,882772,2176895,54,282,0.8560587985875115,195761,1604003,3,84,0.09061914519755494,61424,1857788,3,182
2021-07-20 22:10:00+00:00,0.09505568307257069,0,739210,0,82,0.07525292005747512,90199,746064,3,77,0.06096700558110039,0,730581,0,69,0.005384953253215011,86863,303391,1,7,0.10635764061742965,73744,1097859,4,86
2021-07-20 22:09:00+00:00,0.059037882661279184,0,822819,0,96,0.057299814583489685,0,783961,0,83,0.05863120363635706,0,857494,0,91,0.024289963684587686,0,527707,0,75,0.04482161449631405,0,565228,0,49
2021-07-20 22:08:00+00:00,0.08969990058523317,188792,976377,2,107,0.06019827300965374,761617,942515,27,99,0.07167342047337873,533329,957678,11,95,0.4865466512348912,87951,2935087,6,214,0.4083632527792531,2187071,6076317,81,351
2021-07-20 22:07:00+00:00,0.12293335688724008,847496,2385762,11,328,0.11407380085705417,4237589,1926277,149,221,0.13842035687973464,2370735,1961946,50,211,1.2975472720229342,39025,1226825,2,83,0.6323142973075614,2625729,7087508,98,395
2021-07-20 22:06:00+00:00,0.06075948144498019,0,739104,0,77,0.08355379960475535,124890,710496,8,69,0.0626760061063673,12788,675324,1,62,0.0058597609837084015,2837,86354,1,14,0.05578775089013277,0,542525,0,38
2021-07-20 22:05:00+00:00,0.058509524605379205,0,879228,0,94,0.05803385273158786,3761,891384,0,92,0.060935007540355926,56844,955203,2,116,0.05389034393653702,1259,415742,0,69,0.04584432559451793,0,1256520,0,117
2021-07-20 22:04:00+00:00,0.08264639969659981,362668,1653573,15,190,0.11147965064489065,527931,1670785,21,174,0.06968642849344538,95525,1200657,2,134,1.1315858789344138,0,2624063,0,173,0.24115164985843762,800342,4307932,29,319
2021-07-20 22:03:00+00:00,0.10940801623800667,1627988,675203,68,57,0.08478324237058861,2806548,769371,102,77,0.12399199938141217,469047,1923998,9,234,0.13810385057748437,0,1103112,0,67,0.3586385075693575,960938,4025404,35,263
2021-07-20 22:02:00+00:00,0.0595801317546929,17910,890995,1,109,0.05866476289016494,0,799098,0,82,0.06491490061612144,219850,1075324,8,131,0.005873861133994277,0,176521,0,32,0.04543966541436125,0,542134,0,43
2021-07-20 22:01:00+00:00,0.062219255781975846,380374,980958,14,109,0.057437868527927094,387366,903675,20,97,0.07366416840487014,444823,1316363,14,167,0.056437351095730996,0,2322534,0,146,0.15945662205789307,14890,2408310,1,187
2021-07-20 22:00:00+00:00,0.08544280039300152,1346612,1885464,51,231,0.100822627065367,2143962,1683706,113,180,0.12310575084530245,1567564,2326218,53,276,1.144126193796275,0,1178607,0,68,0.23367897744737812,17878,3037788,2,230
2021-07-20 21:59:00+00:00,0.1027446748861062,80590,651689,5,65,0.07755334783968237,0,765703,0,80,0.09267167473390713,160503,1361252,8,172,0.005470088156407371,0,103265,0,8,0.054269838511885375,0,908684,0,68
2021-07-20 21:58:00+00:00,0.05741439119463128,378942,986070,21,105,0.05612416765091884,4388,986564,0,110,0.0809304269605017,0,930085,0,83,0.03574408132196538,0,78161,0,11,0.046390878626032375,0,1237904,0,132
2021-07-20 21:57:00+00:00,0.0759084361714907,937416,1662483,38,187,0.0969679266427903,571487,2313175,19,270,0.07008741014486473,439306,1996202,17,240,0.7173882020223913,627002,2282881,30,143,0.0963142616662959,887854,1998900,35,196
2021-07-20 21:56:00+00:00,0.10064490038303593,3883210,616310,143,50,0.07609923169045865,3028605,776611,89,82,0.1147378347884711,1952758,952942,77,105,0.22339160457371082,278214,999557,13,62,0.12613141036603062,1065938,1206233,43,93
2021-07-20 21:55:00+00:00,0.05897836232614158,93794,738437,2,81,0.057597698250750305,0,814268,0,83,0.059204494717986236,0,833497,0,87,0.005322512784838788,0,5674,0,1,0.04543661203113439,0,518330,0,45
