frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632910243.243373000,,0x00000000,169.254.169.254,10.5.0.15,134,,
1632910243.245097000,,0x00000000,169.254.169.254,10.5.0.15,174,,
1632910243.245539000,,0x00007197,10.5.0.15,91.189.88.185,60,58882,443
1632910243.339185000,,0x00006273,10.0.0.255,10.5.0.15,52,36374,22
1632910243.339185000,,0x00006274,10.0.0.255,10.5.0.15,88,36374,22
1632910243.354261000,,0x00006275,10.0.0.255,10.5.0.15,52,36374,22
1632910243.355853000,,0x00006276,10.0.0.255,10.5.0.15,52,36374,22
1632910243.355896000,,0x00006277,10.0.0.255,10.5.0.15,88,36374,22
1632910243.355896000,,0x00006278,10.0.0.255,10.5.0.15,112,36374,22
1632910243.357929000,,0x00006279,10.0.0.255,10.5.0.15,52,36374,22
1632910243.442265000,,0x00000000,91.189.88.185,10.5.0.15,60,443,58882
1632910243.442318000,0.196779000,0x00007198,10.5.0.15,91.189.88.185,52,58882,443
1632910243.442756000,0.196779000,0x00007199,10.5.0.15,91.189.88.185,569,58882,443
1632910243.506959000,,0x0000627a,10.0.0.255,10.5.0.15,52,36374,22
1632910243.639353000,0.196779000,0x0000d22a,91.189.88.185,10.5.0.15,2868,443,58882
1632910243.639388000,0.196779000,0x0000719a,10.5.0.15,91.189.88.185,52,58882,443
1632910243.652305000,0.196779000,0x0000d22c,91.189.88.185,10.5.0.15,1845,443,58882
1632910243.652332000,0.196779000,0x0000719b,10.5.0.15,91.189.88.185,52,58882,443
1632910243.653076000,0.196779000,0x0000719c,10.5.0.15,91.189.88.185,132,58882,443
1632910243.653170000,0.196779000,0x0000719d,10.5.0.15,91.189.88.185,257,58882,443
1632910243.849447000,0.196779000,0x0000d22e,91.189.88.185,10.5.0.15,323,443,58882
1632910243.849491000,0.196779000,0x0000719e,10.5.0.15,91.189.88.185,52,58882,443
1632910243.850824000,0.196779000,0x0000d22f,91.189.88.185,10.5.0.15,2868,443,58882
1632910243.850840000,0.196779000,0x0000719f,10.5.0.15,91.189.88.185,52,58882,443
1632910243.864177000,0.196779000,0x0000d231,91.189.88.185,10.5.0.15,2786,443,58882
1632910243.864218000,0.196779000,0x000071a0,10.5.0.15,91.189.88.185,52,58882,443
1632910243.865157000,,0x000071a1,10.5.0.15,91.189.88.185,52,58882,443
1632910245.953506000,,0x0000a4fa,10.5.0.15,8.8.8.8,60,,
1632910245.953557000,,0x0000a4fb,10.5.0.15,8.8.8.8,60,,
1632910245.955187000,,0x0000fcb8,8.8.8.8,10.5.0.15,135,,
1632910245.955244000,,0x0000d034,8.8.8.8,10.5.0.15,135,,
1632910245.957212000,,0x0000a4fc,10.5.0.15,8.8.8.8,60,,
1632910245.957266000,,0x0000a4fd,10.5.0.15,8.8.8.8,60,,
1632910245.958885000,,0x000053e8,8.8.8.8,10.5.0.15,135,,
1632910245.958943000,,0x00008115,8.8.8.8,10.5.0.15,135,,
1632910247.680758000,,0x00001c1d,10.5.0.15,142.250.218.234,52,53198,443
1632910247.681387000,,0x00000000,142.250.218.234,10.5.0.15,52,443,53198
1632910249.472846000,,0x00005496,10.5.0.15,169.254.169.254,76,,
1632910249.473234000,,0x00000000,169.254.169.254,10.5.0.15,76,,
1632910250.953482000,,0x0000a6bf,10.5.0.15,8.8.8.8,60,,
1632910250.953539000,,0x0000a6c0,10.5.0.15,8.8.8.8,60,,
