insertId,jsonPayload.bytes_sent,jsonPayload.connection.dest_ip,jsonPayload.connection.dest_port,jsonPayload.connection.protocol,jsonPayload.connection.src_ip,jsonPayload.connection.src_port,jsonPayload.dest_instance.project_id,jsonPayload.dest_instance.region,jsonPayload.dest_instance.vm_name,jsonPayload.dest_instance.zone,jsonPayload.dest_location.asn,jsonPayload.dest_location.city,jsonPayload.dest_location.continent,jsonPayload.dest_location.country,jsonPayload.dest_location.region,jsonPayload.dest_vpc.project_id,jsonPayload.dest_vpc.subnetwork_name,jsonPayload.dest_vpc.vpc_name,jsonPayload.end_time,jsonPayload.packets_sent,jsonPayload.reporter,jsonPayload.rtt_msec,jsonPayload.src_instance.project_id,jsonPayload.src_instance.region,jsonPayload.src_instance.vm_name,jsonPayload.src_instance.zone,jsonPayload.src_location.asn,jsonPayload.src_location.city,jsonPayload.src_location.continent,jsonPayload.src_location.country,jsonPayload.src_location.region,jsonPayload.src_vpc.project_id,jsonPayload.src_vpc.subnetwork_name,jsonPayload.src_vpc.vpc_name,jsonPayload.start_time,logName,receiveTimestamp,resource.labels.location,resource.labels.project_id,resource.labels.subnetwork_id,resource.labels.subnetwork_name,resource.type,timestamp
17ap3v4g3b5u6jp,0,209.85.200.95,443,6,10.1.0.2,44744,,,,,,,,,,,,,2021-07-21T01:41:45.192595645Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-client-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:45.191493652Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:50.713879263Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:50.713879263Z
198s1hog30w6ef8,0,10.1.0.255,41670,6,172.217.214.95,443,dspj-315716,us-central1,experiment-baseline-with-latency-3-test-orchestrator,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:48.588714689Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:48.588714689Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:49.739033518Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:49.739033518Z
d1j9ffg3akcqid,0,74.125.69.95,443,6,10.1.0.3,47054,,,,,,,,,,,,,2021-07-21T01:41:46.456270297Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-central-server-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:46.456270297Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:49.311814700Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:49.311814700Z
d1j9ffg3akcqib,0,74.125.69.95,443,6,10.1.0.3,47052,,,,,,,,,,,,,2021-07-21T01:41:46.456291128Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-central-server-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:46.456291128Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:49.311814700Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:49.311814700Z
1rtsw10fhg5yx0,0,64.233.162.95,443,6,10.3.0.13,36466,,,,,,,,,,,,,2021-07-21T01:41:44.124557012Z,1,SRC,,dspj-315716,europe-north1,experiment-baseline-with-latency-3-node-instance-3,europe-north1-b,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-3,experiment-baseline-with-latency-3-network,2021-07-21T01:41:44.124557012Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:47.926940118Z,europe-north1-b,dspj-315716,1429980605295808013,experiment-baseline-with-latency-3-subnetwork-3,gce_subnetwork,2021-07-21T01:41:47.926940118Z
1rtsw10fhg5ywp,0,64.233.162.95,443,6,10.3.0.13,36468,,,,,,,,,,,,,2021-07-21T01:41:44.124557012Z,1,SRC,,dspj-315716,europe-north1,experiment-baseline-with-latency-3-node-instance-3,europe-north1-b,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-3,experiment-baseline-with-latency-3-network,2021-07-21T01:41:44.124557012Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:47.926940118Z,europe-north1-b,dspj-315716,1429980605295808013,experiment-baseline-with-latency-3-subnetwork-3,gce_subnetwork,2021-07-21T01:41:47.926940118Z
ci1dcug39mnin1,0,142.250.1.95,443,6,10.1.0.11,52710,,,,,,,,,,,,,2021-07-21T01:41:44.598320389Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-node-instance-1,us-central1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:44.598320389Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:46.745654892Z,us-central1-a,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:46.745654892Z
15mkikgg3a8hal9,0,10.1.0.2,44744,6,209.85.200.95,443,dspj-315716,us-central1,experiment-baseline-with-latency-3-client-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:30.088442385Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:30.088442385Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:46.272000219Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:46.272000219Z
15mi24ug3a67xyk,0,10.1.0.255,41672,6,172.217.214.95,443,dspj-315716,us-central1,experiment-baseline-with-latency-3-test-orchestrator,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:34.508300546Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:34.507305706Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:39.646404289Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:39.646404289Z
15mi24ug3a67xyj,0,172.217.214.95,443,6,10.1.0.255,41672,,,,,,,,,,,,,2021-07-21T01:41:34.508300546Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-test-orchestrator,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:34.507305706Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:39.646404289Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:39.646404289Z
1r9lxehfmcp8ja,0,10.3.0.13,36468,6,64.233.162.95,443,dspj-315716,europe-north1,experiment-baseline-with-latency-3-node-instance-3,europe-north1-b,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-3,experiment-baseline-with-latency-3-network,2021-07-21T01:41:29.021500184Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:29.020494248Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:37.924791095Z,europe-north1-b,dspj-315716,1429980605295808013,experiment-baseline-with-latency-3-subnetwork-3,gce_subnetwork,2021-07-21T01:41:37.924791095Z
1r9lxehfmcp8j9,0,64.233.162.95,443,6,10.3.0.13,36468,,,,,,,,,,,,,2021-07-21T01:41:29.021500184Z,1,SRC,,dspj-315716,europe-north1,experiment-baseline-with-latency-3-node-instance-3,europe-north1-b,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-3,experiment-baseline-with-latency-3-network,2021-07-21T01:41:29.020494248Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:37.924791095Z,europe-north1-b,dspj-315716,1429980605295808013,experiment-baseline-with-latency-3-subnetwork-3,gce_subnetwork,2021-07-21T01:41:37.924791095Z
1r9lxehfmcp8j8,0,10.3.0.13,36466,6,64.233.162.95,443,dspj-315716,europe-north1,experiment-baseline-with-latency-3-node-instance-3,europe-north1-b,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-3,experiment-baseline-with-latency-3-network,2021-07-21T01:41:29.021500184Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:29.020494248Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:37.924791095Z,europe-north1-b,dspj-315716,1429980605295808013,experiment-baseline-with-latency-3-subnetwork-3,gce_subnetwork,2021-07-21T01:41:37.924791095Z
1r9lxehfmcp8j7,0,64.233.162.95,443,6,10.3.0.13,36466,,,,,,,,,,,,,2021-07-21T01:41:29.021500184Z,1,SRC,,dspj-315716,europe-north1,experiment-baseline-with-latency-3-node-instance-3,europe-north1-b,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-3,experiment-baseline-with-latency-3-network,2021-07-21T01:41:29.020494248Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:37.924791095Z,europe-north1-b,dspj-315716,1429980605295808013,experiment-baseline-with-latency-3-subnetwork-3,gce_subnetwork,2021-07-21T01:41:37.924791095Z
b3mgpng3b0px7d,0,10.1.0.11,52710,6,142.250.1.95,443,dspj-315716,us-central1,experiment-baseline-with-latency-3-node-instance-1,us-central1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:29.495163814Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:29.495163814Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:36.774835647Z,us-central1-a,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:36.774835647Z
b3mgpng3b0px79,0,10.1.0.11,52716,6,142.250.1.95,443,dspj-315716,us-central1,experiment-baseline-with-latency-3-node-instance-1,us-central1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:31.799282668Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:31.798369004Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:36.774835647Z,us-central1-a,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:36.774835647Z
b3mgpng3b0px78,0,142.250.1.95,443,6,10.1.0.11,52716,,,,,,,,,,,,,2021-07-21T01:41:31.799282668Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-node-instance-1,us-central1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:31.798369004Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:36.774835647Z,us-central1-a,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:36.774835647Z
hrvbfyg2sdycsy,0,209.85.200.95,443,6,10.1.0.2,44744,,,,,,,,,,,,,2021-07-21T01:41:30.087418562Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-client-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:30.087418562Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:35.866655773Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:35.866655773Z
hrvbfyg2sdycsx,0,10.1.0.2,44746,6,209.85.200.95,443,dspj-315716,us-central1,experiment-baseline-with-latency-3-client-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:30.088155462Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:30.087418562Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:35.866655773Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:35.866655773Z
hrvbfyg2sdycsw,0,209.85.200.95,443,6,10.1.0.2,44746,,,,,,,,,,,,,2021-07-21T01:41:30.088155462Z,1,SRC,,dspj-315716,us-central1,experiment-baseline-with-latency-3-client-instance,us-central1-c,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-1,experiment-baseline-with-latency-3-network,2021-07-21T01:41:30.087418562Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:35.866655773Z,us-central1-c,dspj-315716,3339397690707070477,experiment-baseline-with-latency-3-subnetwork-1,gce_subnetwork,2021-07-21T01:41:35.866655773Z
1u1ijgrg1a6zyhk,0,10.2.0.12,48222,6,108.177.97.95,443,dspj-315716,asia-east1,experiment-baseline-with-latency-3-node-instance-2,asia-east1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-2,experiment-baseline-with-latency-3-network,2021-07-21T01:41:28.027594670Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:28.024860510Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:35.682932732Z,asia-east1-a,dspj-315716,6624708640313626125,experiment-baseline-with-latency-3-subnetwork-2,gce_subnetwork,2021-07-21T01:41:35.682932732Z
1u1ijgrg1a6zyhj,0,108.177.97.95,443,6,10.2.0.12,48222,,,,,,,,,,,,,2021-07-21T01:41:28.027594670Z,1,SRC,,dspj-315716,asia-east1,experiment-baseline-with-latency-3-node-instance-2,asia-east1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-2,experiment-baseline-with-latency-3-network,2021-07-21T01:41:28.024860510Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:35.682932732Z,asia-east1-a,dspj-315716,6624708640313626125,experiment-baseline-with-latency-3-subnetwork-2,gce_subnetwork,2021-07-21T01:41:35.682932732Z
1u1ijgrg1a6zyhg,0,10.2.0.12,48220,6,108.177.97.95,443,dspj-315716,asia-east1,experiment-baseline-with-latency-3-node-instance-2,asia-east1-a,,,,,,dspj-315716,experiment-baseline-with-latency-3-subnetwork-2,experiment-baseline-with-latency-3-network,2021-07-21T01:41:28.025750416Z,1,DEST,,,,,,,,,,,,,,2021-07-21T01:41:28.024860510Z,projects/dspj-315716/logs/compute.googleapis.com%2Fvpc_flows,2021-07-21T01:41:35.682932732Z,asia-east1-a,dspj-315716,6624708640313626125,experiment-baseline-with-latency-3-subnetwork-2,gce_subnetwork,2021-07-21T01:41:35.682932732Z
