timestamp,cpu_util_experiment-baseline-with-latency-6-node-instance-2,io_read_experiment-baseline-with-latency-6-node-instance-2,io_write_experiment-baseline-with-latency-6-node-instance-2,iops_read_experiment-baseline-with-latency-6-node-instance-2,iops_write_experiment-baseline-with-latency-6-node-instance-2,cpu_util_experiment-baseline-with-latency-6-node-instance-6,io_read_experiment-baseline-with-latency-6-node-instance-6,io_write_experiment-baseline-with-latency-6-node-instance-6,iops_read_experiment-baseline-with-latency-6-node-instance-6,iops_write_experiment-baseline-with-latency-6-node-instance-6,cpu_util_experiment-baseline-with-latency-6-node-instance-4,io_read_experiment-baseline-with-latency-6-node-instance-4,io_write_experiment-baseline-with-latency-6-node-instance-4,iops_read_experiment-baseline-with-latency-6-node-instance-4,iops_write_experiment-baseline-with-latency-6-node-instance-4,cpu_util_experiment-baseline-with-latency-6-node-instance-3,io_read_experiment-baseline-with-latency-6-node-instance-3,io_write_experiment-baseline-with-latency-6-node-instance-3,iops_read_experiment-baseline-with-latency-6-node-instance-3,iops_write_experiment-baseline-with-latency-6-node-instance-3,cpu_util_experiment-baseline-with-latency-6-node-instance-1,io_read_experiment-baseline-with-latency-6-node-instance-1,io_write_experiment-baseline-with-latency-6-node-instance-1,iops_read_experiment-baseline-with-latency-6-node-instance-1,iops_write_experiment-baseline-with-latency-6-node-instance-1,cpu_util_experiment-baseline-with-latency-6-node-instance-5,io_read_experiment-baseline-with-latency-6-node-instance-5,io_write_experiment-baseline-with-latency-6-node-instance-5,iops_read_experiment-baseline-with-latency-6-node-instance-5,iops_write_experiment-baseline-with-latency-6-node-instance-5,cpu_util_experiment-baseline-with-latency-6-central-server,io_read_experiment-baseline-with-latency-6-central-server,io_write_experiment-baseline-with-latency-6-central-server,iops_read_experiment-baseline-with-latency-6-central-server,iops_write_experiment-baseline-with-latency-6-central-server,cpu_util_experiment-baseline-with-latency-6-client-instance,io_read_experiment-baseline-with-latency-6-client-instance,io_write_experiment-baseline-with-latency-6-client-instance,iops_read_experiment-baseline-with-latency-6-client-instance,iops_write_experiment-baseline-with-latency-6-client-instance,cpu_util_experiment-baseline-with-latency-6-test-orchestrator,io_read_experiment-baseline-with-latency-6-test-orchestrator,io_write_experiment-baseline-with-latency-6-test-orchestrator,iops_read_experiment-baseline-with-latency-6-test-orchestrator,iops_write_experiment-baseline-with-latency-6-test-orchestrator
2021-09-29 11:01:00,0.02390402310777044,0.0,0.0,0.0,0.0,0.009970575819650662,0.0,0.0,0.0,0.0,0.0022247660858899583,0.0,0.0,0.0,0.0,0.026320424580787004,0.0,0.0,0.0,0.0,0.010535966875711247,0.0,0.0,0.0,0.0,0.03258460822832774,0.0,0.0,0.0,0.0,0.007339893412306727,0.0,0.0,0.0,0.0,0.00198108298979965,0.0,0.0,0.0,0.0,0.011325972970748428,0.0,0.0,0.0,0.0
2021-09-29 11:00:00,0.023725330591808338,0.0,0.0,0.0,0.0,0.03660223711895346,0.0,0.0,0.0,0.0,0.04573302599610495,0.0,0.0,0.0,0.0,0.020359852560274304,0.0,0.0,0.0,0.0,0.046190376691121554,0.0,0.0,0.0,0.0,0.021910784414936303,0.0,0.0,0.0,0.0,0.06910017433443442,0.0,0.0,0.0,0.0,0.06483675249273801,0.0,0.0,0.0,0.0,0.025249016713369106,0.0,0.0,0.0,0.0
2021-09-29 10:59:00,0.001700303584113764,0.0,0.0,0.0,0.0,0.0010657911194210594,0.0,0.0,0.0,0.0,0.004900500673339536,0.0,0.0,0.0,0.0,0.004287100112652808,0.0,0.0,0.0,0.0,0.0015221092774093373,0.0,0.0,0.0,0.0,0.0016240954618448693,0.0,0.0,0.0,0.0,0.008746684835457093,0.0,0.0,0.0,0.0,0.004038071679007278,0.0,0.0,0.0,0.0,0.015694103442325986,0.0,0.0,0.0,0.0
2021-09-29 10:58:00,0.001532876418770949,0.0,0.0,0.0,0.0,0.001153586104169809,0.0,0.0,0.0,0.0,0.0013971609355849068,0.0,0.0,0.0,0.0,0.0013936108087103586,0.0,0.0,0.0,0.0,0.001545113377522019,0.0,0.0,0.0,0.0,0.001558579134919095,0.0,0.0,0.0,0.0,0.00730424465585789,0.0,0.0,0.0,0.0,0.0016460577308076078,0.0,0.0,0.0,0.0,0.0016155207837466417,0.0,0.0,0.0,0.0
2021-09-29 10:57:00,0.0012495475038993694,0.0,0.0,0.0,0.0,0.0012002779086330406,0.0,0.0,0.0,0.0,0.0014460232644836423,0.0,0.0,0.0,0.0,0.0014872239166687487,0.0,0.0,0.0,0.0,0.0016304783856000427,0.0,0.0,0.0,0.0,0.0016630023916780108,0.0,0.0,0.0,0.0,0.007231004869067684,0.0,0.0,0.0,0.0,0.0016223738498486757,0.0,0.0,0.0,0.0,0.0019328047264645912,0.0,0.0,0.0,0.0
2021-09-29 10:56:00,0.0014408777828554282,0.0,0.0,0.0,0.0,0.001415659561158596,0.0,0.0,0.0,0.0,0.0015960162489757105,0.0,0.0,0.0,0.0,0.001650674909560242,0.0,0.0,0.0,0.0,0.0016330639729313626,0.0,0.0,0.0,0.0,0.0022147058264910886,0.0,0.0,0.0,0.0,0.007364134329804036,0.0,0.0,0.0,0.0,0.001744223890491033,0.0,0.0,0.0,0.0,0.0019527729411260946,0.0,0.0,0.0,0.0
2021-09-29 10:55:00,0.0014328273799918633,0.0,0.0,0.0,0.0,0.0013311050502617641,0.0,0.0,0.0,0.0,0.001704362721247321,0.0,0.0,0.0,0.0,0.0015851827768978903,0.0,0.0,0.0,0.0,0.0016271757239598136,0.0,0.0,0.0,0.0,0.0019276605850772437,0.0,0.0,0.0,0.0,0.007376247237904939,0.0,0.0,0.0,0.0,0.0016605159334119434,0.0,0.0,0.0,0.0,0.0016550638306587946,0.0,0.0,0.0,0.0
2021-09-29 10:54:00,0.0013338568099631706,0.0,0.0,0.0,0.0,0.0013431435538464598,0.0,0.0,0.0,0.0,0.0015898746791179973,0.0,0.0,0.0,0.0,0.0015872840323666536,0.0,0.0,0.0,0.0,0.0019044209534968104,0.0,0.0,0.0,0.0,0.001345471792894178,0.0,0.0,0.0,0.0,0.007458166935493674,0.0,0.0,0.0,0.0,0.001601762569628325,0.0,0.0,0.0,0.0,0.0018680775782077793,0.0,0.0,0.0,0.0
2021-09-29 10:53:00,0.0018338126189831883,0.0,0.0,0.0,0.0,0.0015345963147183283,0.0,0.0,0.0,0.0,0.0014788218190896411,0.0,0.0,0.0,0.0,0.0017700354300619855,0.0,0.0,0.0,0.0,0.0017996038828570703,0.0,0.0,0.0,0.0,0.0018888469570455867,0.0,0.0,0.0,0.0,0.007376196511388381,0.0,0.0,0.0,0.0,0.0017403448013936895,0.0,0.0,0.0,0.0,0.20435570082617904,0.0,0.0,0.0,0.0
2021-09-29 10:52:00,0.010161114435533136,0.0,0.0,0.0,0.0,0.005356970432733968,0.0,0.0,0.0,0.0,0.00287518424334318,0.0,0.0,0.0,0.0,0.012509266071156825,0.0,0.0,0.0,0.0,0.0048455525332106696,0.0,0.0,0.0,0.0,0.01280090992579043,0.0,0.0,0.0,0.0,0.023649917553602032,0.0,0.0,0.0,0.0,0.02059654364538043,0.0,0.0,0.0,0.0,0.4145466547313594,0.0,0.0,0.0,0.0
