frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632910232.521832000,,0x00000000,169.254.169.254,10.2.0.12,174,,
1632910232.522479000,,0x00004674,10.2.0.12,91.189.88.185,60,47838,443
1632910232.547247000,,0x000068a5,10.0.0.255,10.2.0.12,52,48274,22
1632910232.547333000,,0x000068a6,10.0.0.255,10.2.0.12,88,48274,22
1632910232.560775000,,0x000068a7,10.0.0.255,10.2.0.12,52,48274,22
1632910232.562949000,,0x000068a8,10.0.0.255,10.2.0.12,52,48274,22
1632910232.562949000,,0x000068a9,10.0.0.255,10.2.0.12,88,48274,22
1632910232.562949000,,0x000068aa,10.0.0.255,10.2.0.12,112,48274,22
1632910232.563946000,,0x000068ab,10.0.0.255,10.2.0.12,52,48274,22
1632910232.717892000,,0x000068ac,10.0.0.255,10.2.0.12,52,48274,22
1632910232.754438000,,0x00000000,91.189.88.185,10.2.0.12,60,443,47838
1632910232.754476000,0.231997000,0x00004675,10.2.0.12,91.189.88.185,52,47838,443
1632910232.754897000,0.231997000,0x00004676,10.2.0.12,91.189.88.185,569,47838,443
1632910232.986955000,0.231997000,0x0000bc02,91.189.88.185,10.2.0.12,2868,443,47838
1632910232.986991000,0.231997000,0x00004677,10.2.0.12,91.189.88.185,52,47838,443
1632910233.002590000,0.231997000,0x0000bc04,91.189.88.185,10.2.0.12,1845,443,47838
1632910233.002604000,0.231997000,0x00004678,10.2.0.12,91.189.88.185,52,47838,443
1632910233.003372000,0.231997000,0x00004679,10.2.0.12,91.189.88.185,132,47838,443
1632910233.003474000,0.231997000,0x0000467a,10.2.0.12,91.189.88.185,257,47838,443
1632910233.235065000,0.231997000,0x0000bc06,91.189.88.185,10.2.0.12,323,443,47838
1632910233.235111000,0.231997000,0x0000467b,10.2.0.12,91.189.88.185,52,47838,443
1632910233.236750000,0.231997000,0x0000bc07,91.189.88.185,10.2.0.12,2868,443,47838
1632910233.236759000,0.231997000,0x0000467c,10.2.0.12,91.189.88.185,52,47838,443
1632910233.252553000,0.231997000,0x0000bc09,91.189.88.185,10.2.0.12,2786,443,47838
1632910233.252582000,0.231997000,0x0000467d,10.2.0.12,91.189.88.185,52,47838,443
