timestamp,cpu_util_experiment-baseline-with-latency-3-node-instance-2,io_read_experiment-baseline-with-latency-3-node-instance-2,io_write_experiment-baseline-with-latency-3-node-instance-2,iops_read_experiment-baseline-with-latency-3-node-instance-2,iops_write_experiment-baseline-with-latency-3-node-instance-2,cpu_util_experiment-baseline-with-latency-3-node-instance-3,io_read_experiment-baseline-with-latency-3-node-instance-3,io_write_experiment-baseline-with-latency-3-node-instance-3,iops_read_experiment-baseline-with-latency-3-node-instance-3,iops_write_experiment-baseline-with-latency-3-node-instance-3,cpu_util_experiment-baseline-with-latency-3-node-instance-1,io_read_experiment-baseline-with-latency-3-node-instance-1,io_write_experiment-baseline-with-latency-3-node-instance-1,iops_read_experiment-baseline-with-latency-3-node-instance-1,iops_write_experiment-baseline-with-latency-3-node-instance-1,cpu_util_experiment-baseline-with-latency-3-client-instance,io_read_experiment-baseline-with-latency-3-client-instance,io_write_experiment-baseline-with-latency-3-client-instance,iops_read_experiment-baseline-with-latency-3-client-instance,iops_write_experiment-baseline-with-latency-3-client-instance,cpu_util_experiment-baseline-with-latency-3-central-server,io_read_experiment-baseline-with-latency-3-central-server,io_write_experiment-baseline-with-latency-3-central-server,iops_read_experiment-baseline-with-latency-3-central-server,iops_write_experiment-baseline-with-latency-3-central-server
2021-09-19 18:25:00,0.03292912013579657,2389197,2189141,51,223,0.011958624278465398,0,971299,0,98,0.028132276819955376,0,262089,0,33,0.009321882385929332,0,205711,0,29,0.004846742468213468,0,264274,0,18
2021-09-19 18:24:00,0.03627131211974444,2300723,2377858,49,247,0.016971008813695693,0,1064150,0,110,0.011797183881890305,0,1189602,0,151,0.16853016533395457,0,1844365,0,126,0.006989818784295683,0,546710,0,41
2021-09-19 18:23:00,0.013887673668504874,0,1176175,0,143,0.01090614737317613,0,1187014,0,120,0.009581366692895206,0,1257332,0,161,0.009061197147887867,0,1113809,0,61,0.006928647407777551,0,561155,0,45
2021-09-19 18:22:00,0.011880364450805321,0,1246081,0,162,0.010835539911974479,0,869168,0,77,0.010153526640010095,0,1060751,0,120,0.005558007369114174,0,715944,0,88,0.00701232057983816,0,559122,0,44
2021-09-19 18:21:00,0.011957272174313497,0,1196888,0,147,0.013075132963134686,0,866985,0,81,0.010713287114343472,0,1252805,0,159,0.09916458237300603,0,236571,0,39,0.00706763812427198,0,571285,0,45
2021-09-19 18:20:00,0.011944004352082515,0,1154748,0,139,0.022372021324106584,0,1160811,0,112,0.01095659344887423,0,1314827,0,172,0.23799376648104248,0,2928888,0,144,0.0070097617420761555,0,547101,0,41
2021-09-19 18:19:00,0.012397987056211927,0,1222813,0,149,0.010862066175941246,0,1150157,0,109,0.0106858793547777,0,1296490,0,171,0.008643268732634131,0,1357330,0,112,0.006990744158233516,0,562790,0,44
2021-09-19 18:18:00,0.014064707767111884,0,1422521,0,198,0.010421829888744582,3823,874087,1,79,0.01136019461609834,0,1234705,0,162,0.01346953805914784,6209,226844,2,33,0.006949015925727527,0,565638,0,43
2021-09-19 18:17:00,0.013864643497239133,0,1317628,0,170,0.012681918486312801,4369,1152069,1,130,0.010796146432217314,0,1268016,0,166,0.24946514854282356,1983,289541,0,50,0.007066631181873599,0,548591,0,40
2021-09-19 18:16:00,0.014146555326206093,0,1239483,0,151,0.019609712805720866,0,1250101,0,136,0.011182567356622049,0,1191093,0,144,0.001774569882387785,0,3169324,0,270,0.007037492598104223,0,593862,0,48
2021-09-19 18:15:00,0.013763494373625918,0,1220271,0,147,0.011029523847296711,0,998057,0,88,0.010481663708799735,0,1029701,0,120,0.00865069987807606,0,1460384,0,153,0.006982317626550601,0,587881,0,47
2021-09-19 18:14:00,0.012318813973773974,0,1278153,0,160,0.011744598986657688,0,968015,0,94,0.010670409281941792,0,1222158,0,154,0.011171402481777667,0,195141,0,33,0.006869648600926344,0,585635,0,47
2021-09-19 18:13:00,0.012063964883562523,0,1337525,0,168,0.018973027287815115,0,1158358,0,117,0.010316234510365518,0,1241797,0,156,0.21122447417688667,0,2003972,0,128,0.006830735047582929,0,545161,0,41
2021-09-19 18:12:00,0.012714756465128593,0,1291349,0,157,0.010697894171408961,0,1116018,0,112,0.01054770850481977,0,1357235,0,181,0.00878592656875199,0,852770,0,60,0.006851698050956164,0,554537,0,42
2021-09-19 18:11:00,0.014415919226938455,0,1047806,0,111,0.011075842024161868,120427,828762,29,75,0.010538890929626631,0,1136699,0,138,0.009936317952865419,111767,811401,27,125,0.006900617313801168,0,616460,0,51
2021-09-19 18:10:00,0.014602018943050155,0,1472855,0,199,0.012774109677651779,206436,1252839,36,136,0.011669676960618838,0,1306579,0,175,0.1769711706893704,389621,364226,12,49,0.006906662460318576,0,571718,0,43
2021-09-19 18:09:00,0.01330673923470916,0,1053829,0,110,0.02129811508490178,78641,1544189,3,177,0.010541957694867677,0,1378466,0,190,0.0016006123190119108,224779,2012111,5,127,0.006879030321187448,0,562944,0,43
2021-09-19 18:08:00,0.012964939771274922,0,1242755,0,160,0.010529606254162615,0,1150972,0,118,0.01157292193177426,0,990100,0,107,0.008820019197211574,35689,1092088,1,105,0.006841752580436377,0,583785,0,48
2021-09-19 18:07:00,0.012796761042842301,0,1224470,0,152,0.014406791254414486,2121301,860394,156,79,0.01090193359908606,0,1298049,0,164,0.0026567429145484783,3423645,184967,250,27,0.0068751425116370035,0,563246,0,44
2021-09-19 18:06:00,0.012546518322345435,0,1426369,0,195,0.029959537665809912,2445262,1888549,179,155,0.011299372508684275,0,1215937,0,151,0.02786205170988912,1372639,1971314,107,157,0.006965640256333927,0,565186,0,42
