timestamp,cpu_util_experiment-baseline-with-latency-3-node-instance-2,io_read_experiment-baseline-with-latency-3-node-instance-2,io_write_experiment-baseline-with-latency-3-node-instance-2,iops_read_experiment-baseline-with-latency-3-node-instance-2,iops_write_experiment-baseline-with-latency-3-node-instance-2,cpu_util_experiment-baseline-with-latency-3-node-instance-3,io_read_experiment-baseline-with-latency-3-node-instance-3,io_write_experiment-baseline-with-latency-3-node-instance-3,iops_read_experiment-baseline-with-latency-3-node-instance-3,iops_write_experiment-baseline-with-latency-3-node-instance-3,cpu_util_experiment-baseline-with-latency-3-node-instance-1,io_read_experiment-baseline-with-latency-3-node-instance-1,io_write_experiment-baseline-with-latency-3-node-instance-1,iops_read_experiment-baseline-with-latency-3-node-instance-1,iops_write_experiment-baseline-with-latency-3-node-instance-1,cpu_util_experiment-baseline-with-latency-3-client-instance,io_read_experiment-baseline-with-latency-3-client-instance,io_write_experiment-baseline-with-latency-3-client-instance,iops_read_experiment-baseline-with-latency-3-client-instance,iops_write_experiment-baseline-with-latency-3-client-instance,cpu_util_experiment-baseline-with-latency-3-central-server-instance,io_read_experiment-baseline-with-latency-3-central-server-instance,io_write_experiment-baseline-with-latency-3-central-server-instance,iops_read_experiment-baseline-with-latency-3-central-server-instance,iops_write_experiment-baseline-with-latency-3-central-server-instance
2021-07-21 16:06:00,0.0577423182916732,0,757761,0,76,0.057475158904805326,0,616692,0,98,0.05946751420925267,0,799135,0,61,0.005009581400457818,0,0,0,18,0.03729990747153048,0,510073,0,41
2021-07-21 16:05:00,0.060162769753352066,0,751247,0,71,0.0562908851763216,18514,841250,1,100,0.0612845409226684,0,673403,0,101,0.005972393853783823,0,79546,0,20,0.03738756139694507,0,501656,0,42
2021-07-21 16:04:00,0.05832537286946148,29771,731877,0,80,0.057047403031506384,112468,867810,3,70,0.05935109587642273,0,859125,0,67,0.005884678371160135,0,94942,0,2,0.0373099730354672,0,510036,0,39
2021-07-21 16:03:00,0.06042271393758606,101301,751612,1,85,0.057990458080164814,163930,681451,4,71,0.05967135587951351,0,681334,0,58,0.005123891184574347,0,18024,0,0,0.03669243124746183,0,483321,0,53
2021-07-21 16:02:00,0.05723898093382947,0,784566,0,83,0.058697154151291876,30857,697392,1,60,0.05973980450443386,21466,654481,0,105,0.004912236923784025,0,0,0,0,0.03734367510920104,0,552790,0,59
2021-07-21 16:01:00,0.05951499808828942,0,778243,0,79,0.058822642950426975,150414,624926,4,52,0.0599530178491463,72742,870890,1,51,0.004795111140881639,0,0,0,0,0.036291290664413126,0,581727,0,46
2021-07-21 16:00:00,0.05794867066619957,0,786609,0,83,0.059485657013297555,138217,640541,3,79,0.060158051355090926,26131,621139,2,105,0.005328985433952956,0,0,0,0,0.03659529881225865,0,518211,0,43
2021-07-21 15:59:00,0.05868887633059927,0,793702,0,73,0.0601028927467695,0,766742,0,96,0.061070602845826244,88557,883333,8,75,0.005020055268675586,0,0,0,0,0.03599831192636789,0,501734,0,40
2021-07-21 15:58:00,0.05588084855074981,0,712533,0,72,0.06027688624305701,0,849248,0,49,0.05891024271611182,0,741534,0,62,0.004978275748122485,0,0,0,0,0.036513479602232245,0,493617,0,41
2021-07-21 15:57:00,0.05761765698175954,38142,719378,1,84,0.058031876330953004,0,599744,0,95,0.05783528939678935,0,679882,0,53,0.004934260417111128,0,0,0,0,0.03608116128637088,0,491476,0,41
