timestamp,cpu_util_experiment-advanced-mongo-with-latency-3-node-instance-2,io_read_experiment-advanced-mongo-with-latency-3-node-instance-2,io_write_experiment-advanced-mongo-with-latency-3-node-instance-2,iops_read_experiment-advanced-mongo-with-latency-3-node-instance-2,iops_write_experiment-advanced-mongo-with-latency-3-node-instance-2,cpu_util_experiment-advanced-mongo-with-latency-3-node-instance-3,io_read_experiment-advanced-mongo-with-latency-3-node-instance-3,io_write_experiment-advanced-mongo-with-latency-3-node-instance-3,iops_read_experiment-advanced-mongo-with-latency-3-node-instance-3,iops_write_experiment-advanced-mongo-with-latency-3-node-instance-3,cpu_util_experiment-advanced-mongo-with-latency-3-node-instance-1,io_read_experiment-advanced-mongo-with-latency-3-node-instance-1,io_write_experiment-advanced-mongo-with-latency-3-node-instance-1,iops_read_experiment-advanced-mongo-with-latency-3-node-instance-1,iops_write_experiment-advanced-mongo-with-latency-3-node-instance-1,cpu_util_experiment-advanced-mongo-with-latency-3-client-instance,io_read_experiment-advanced-mongo-with-latency-3-client-instance,io_write_experiment-advanced-mongo-with-latency-3-client-instance,iops_read_experiment-advanced-mongo-with-latency-3-client-instance,iops_write_experiment-advanced-mongo-with-latency-3-client-instance,cpu_util_experiment-advanced-mongo-with-latency-3-central-config-server,io_read_experiment-advanced-mongo-with-latency-3-central-config-server,io_write_experiment-advanced-mongo-with-latency-3-central-config-server,iops_read_experiment-advanced-mongo-with-latency-3-central-config-server,iops_write_experiment-advanced-mongo-with-latency-3-central-config-server,cpu_util_experiment-advanced-mongo-with-latency-3-central-server,io_read_experiment-advanced-mongo-with-latency-3-central-server,io_write_experiment-advanced-mongo-with-latency-3-central-server,iops_read_experiment-advanced-mongo-with-latency-3-central-server,iops_write_experiment-advanced-mongo-with-latency-3-central-server
2021-09-15 13:37:00,0.009799383844206961,0,933583,0,71,0.01030269032036036,0,882700,0,61,0.010639000673420659,0,931331,0,63,0.0020031456078783093,0,21094,0,3,0.01670892064824727,0,1591901,0,160,0.007783333678419997,0,513312,0,41
2021-09-15 13:36:00,0.009868218820101523,0,1089961,0,99,0.009863264725797193,0,853488,0,62,0.01035933197518754,0,882944,0,55,0.0015480603405720217,0,0,0,0,0.01702289608863623,0,1574983,0,157,0.007690889325221898,0,546444,0,45
2021-09-15 13:35:00,0.010310883778519533,0,963165,0,64,0.009822180680287337,0,961552,0,67,0.010041827586624663,0,935233,0,67,0.0015679215603825014,0,0,0,0,0.017244831508241038,0,1614498,0,158,0.0077563354694215525,0,547191,0,42
2021-09-15 13:34:00,0.01039260366027861,0,1049160,0,90,0.009987902244767118,0,752500,0,48,0.009963817031269665,0,839365,0,53,0.001494019919652582,0,0,0,0,0.01740108541769416,0,1606305,0,155,0.007734668728509557,0,529680,0,40
2021-09-15 13:33:00,0.013022134252770457,0,1519562,0,173,0.010257671969114313,0,891232,0,63,0.01041747616381959,0,903288,0,60,0.0016715880584513342,0,0,0,0,0.017307904603891682,0,1575879,0,156,0.007760006089660957,0,514612,0,40
2021-09-15 13:32:00,0.009767466891500477,0,844597,0,58,0.010070101790624146,0,822632,0,56,0.0099378793093166,0,919099,0,58,0.0014724233662785006,0,8761,0,2,0.016819105755058673,0,1577729,0,158,0.007677503140896628,0,514226,0,41
2021-09-15 13:31:00,0.00991563149203311,0,903781,0,60,0.01011549273955931,0,871225,0,56,0.009912770190048074,0,971083,0,69,0.0015904811513706818,0,11719,0,2,0.016712891458293674,0,1609682,0,157,0.0078089881710018474,0,519830,0,39
2021-09-15 13:30:00,0.009866260280775425,0,916557,0,64,0.00998469652624389,0,801084,0,56,0.009808673804150203,0,906178,0,57,0.0015319783313377873,0,0,0,0,0.016891010893028618,0,1575924,0,155,0.007976422800555837,0,543834,0,41
2021-09-15 13:29:00,0.009931921056653437,0,1065135,0,92,0.010048227422585872,0,829111,0,62,0.01016217564790433,0,898747,0,63,0.0015954961584938587,0,36795,0,7,0.016920118921530995,0,1549960,0,154,0.007817576325832932,0,539929,0,42
2021-09-15 13:28:00,0.009835139800159709,0,848139,0,54,0.009931206104336827,0,904719,0,65,0.010147628945481794,0,874816,0,54,0.003758672685635152,241797,203411,4,35,0.01686074674974615,0,1583588,0,156,0.007639475411528925,0,538063,0,43
2021-09-15 13:27:00,0.009785496336583795,0,951433,0,68,0.009866835544118165,0,893113,0,66,0.010239933551335411,0,889155,0,57,0.007298630982004302,323451,304379,6,53,0.017183233579945067,0,1701277,0,179,0.007588716420211957,0,520001,0,41
2021-09-15 13:26:00,0.009644971930624517,0,865027,0,55,0.009949380578478894,0,839029,0,57,0.010281479833129955,0,839617,0,48,0.0017531974750734018,0,131255,0,26,0.017185553565082994,0,1661742,0,177,0.0076563389915757325,0,529694,0,42
2021-09-15 13:25:00,0.009624707553771827,0,905864,0,60,0.00995433445017871,0,877709,0,61,0.010637037962085098,0,880442,0,60,0.001619485706585048,0,0,0,0,0.017064185931394603,0,1564053,0,153,0.00775641040052714,0,552771,0,43
2021-09-15 13:24:00,0.009376095487688,0,886767,0,57,0.009970171687474286,0,746989,0,49,0.01040126177111631,0,839682,0,54,0.001489252782304599,0,1752,0,0,0.01706349042332344,0,1582042,0,156,0.007635200140737671,0,528940,0,40
2021-09-15 13:23:00,0.009587422706072364,0,865504,0,59,0.010176290550530591,0,879544,0,65,0.010184896956646601,0,857923,0,54,0.0016389869114495543,0,9353,0,2,0.01705637168667901,0,1553736,0,152,0.007687088654728313,0,528764,0,44
2021-09-15 13:22:00,0.009722581165136527,0,827571,0,55,0.010114784273324063,0,842509,0,59,0.009632036924905189,0,914622,0,56,0.0015348078530564636,0,9375,0,2,0.01715082998521306,0,1547609,0,153,0.0077293043292902056,0,512727,0,40
2021-09-15 13:21:00,0.00956501292256462,0,912054,0,61,0.010087841324239358,0,865680,0,64,0.00987691526873391,0,892735,0,59,0.001671258593479763,0,0,0,0,0.017226692780918523,0,1554095,0,154,0.0077438359429583175,0,503275,0,37
2021-09-15 13:20:00,0.009418704474827184,0,925013,0,63,0.009989993311875386,0,872294,0,58,0.009504353606949205,0,864445,0,55,0.0015532312640113824,0,0,0,0,0.017816161824613156,0,1568462,0,154,0.007722319390408927,0,556673,0,43
2021-09-15 13:19:00,0.009384807273283021,0,965737,0,70,0.010198306433579774,0,896227,0,73,0.009569676110076367,0,936889,0,70,0.0015601043929327338,0,80599,0,18,0.01826797194038837,0,1655277,0,172,0.0076516108461229726,0,639763,0,60
2021-09-15 13:18:00,0.009412184675158149,0,1138917,0,105,0.010166582512318693,0,1282672,0,107,0.009926283225553334,0,1031752,0,89,0.0016493706950171827,0,134099,0,26,0.01826169370385552,0,1722300,0,182,0.007747568657786985,0,710805,0,74
2021-09-15 13:17:00,0.009622771043244901,0,913368,0,60,0.010067754672762892,0,900349,0,66,0.00986657827199906,0,970885,0,63,0.001713377850326007,0,50927,0,6,0.01757965141208615,0,1634876,0,164,0.00766745335566128,0,559653,0,45
2021-09-15 13:16:00,0.00926370673156498,0,895700,0,60,0.010143823793955183,0,843277,0,58,0.00969727707768205,0,879615,0,56,0.0015424307108332868,0,61394,0,10,0.017071668182385716,0,1593394,0,159,0.0075365526243435475,0,541239,0,45
2021-09-15 13:15:00,0.009262629621500196,0,907239,0,61,0.009826088229244571,0,990893,0,80,0.00974758904783736,0,916362,0,67,0.0017380225546768694,0,138013,0,25,0.017076302742524755,0,1604907,0,159,0.007726720814921369,0,565803,0,45
2021-09-15 13:14:00,0.009260681420226053,0,899784,0,62,0.01429117763260687,27188421,31666768,114,335,0.009672608052098516,0,884910,0,50,0.0018984339370537858,0,191352,0,41,0.017052933308702715,0,1593044,0,159,0.007707721542499731,0,568981,0,46
2021-09-15 13:13:00,0.009332959535389781,0,909951,0,62,0.08940247445198868,209175355,233990559,873,1491,0.010018616982495131,0,901704,0,61,0.0018686529216599486,0,119489,0,25,0.016966220163212142,0,1565256,0,155,0.007706068087292787,0,643277,0,62
2021-09-15 13:12:00,0.009440526487289465,0,890866,0,61,0.03582765134226046,0,819815,0,54,0.00964439718437878,0,846333,0,52,0.0017446708930071017,0,220247,0,44,0.016910345423432695,0,1522049,0,151,0.007698720046790678,0,698554,0,81
2021-09-15 13:11:00,0.009577272085491018,0,878564,0,56,0.009752850415407958,0,864074,0,63,0.009828740967923485,0,907198,0,56,0.002347437830441379,0,285313,0,56,0.01741731603116629,0,1556833,0,155,0.008003302804433095,0,650505,0,66
2021-09-15 13:10:00,0.009692183823106385,0,880080,0,58,0.009732962381039555,0,912033,0,64,0.009692296846537829,0,869762,0,56,0.0017660441992887854,0,21095,0,3,0.018212477521495886,0,1563622,0,153,0.008027380934329168,0,576962,0,46
