frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1631548413.727986000,,0x0000ed74,10.1.0.11,169.254.169.254,78,,
1631548413.728092000,,0x0000ed75,10.1.0.11,169.254.169.254,78,,
1631548413.764811000,,0x00000000,169.254.169.254,10.1.0.11,142,,
1631548413.840935000,,0x00000000,169.254.169.254,10.1.0.11,134,,
1631548413.841512000,,0x0000cca3,10.1.0.11,91.189.91.48,60,52756,443
1631548413.875048000,,0x00000000,91.189.91.48,10.1.0.11,60,443,52756
1631548413.875094000,0.033582000,0x0000cca4,10.1.0.11,91.189.91.48,52,52756,443
1631548413.875577000,0.033582000,0x0000cca5,10.1.0.11,91.189.91.48,569,52756,443
1631548413.908826000,0.033582000,0x000024b8,91.189.91.48,10.1.0.11,2868,443,52756
1631548413.908868000,0.033582000,0x0000cca6,10.1.0.11,91.189.91.48,52,52756,443
1631548413.910709000,0.033582000,0x000024ba,91.189.91.48,10.1.0.11,1845,443,52756
1631548413.910723000,0.033582000,0x0000cca7,10.1.0.11,91.189.91.48,52,52756,443
1631548413.911559000,0.033582000,0x0000cca8,10.1.0.11,91.189.91.48,132,52756,443
1631548413.911655000,0.033582000,0x0000cca9,10.1.0.11,91.189.91.48,257,52756,443
1631548413.944499000,0.033582000,0x000024bc,91.189.91.48,10.1.0.11,323,443,52756
1631548413.944536000,0.033582000,0x0000ccaa,10.1.0.11,91.189.91.48,52,52756,443
1631548413.944662000,0.033582000,0x000024bd,91.189.91.48,10.1.0.11,323,443,52756
1631548413.944667000,0.033582000,0x0000ccab,10.1.0.11,91.189.91.48,52,52756,443
1631548413.945130000,0.033582000,0x000024be,91.189.91.48,10.1.0.11,2868,443,52756
1631548413.945142000,0.033582000,0x0000ccac,10.1.0.11,91.189.91.48,52,52756,443
1631548413.947165000,0.033582000,0x000024c0,91.189.91.48,10.1.0.11,2515,443,52756
1631548413.947183000,0.033582000,0x0000ccad,10.1.0.11,91.189.91.48,52,52756,443
1631548413.948039000,,0x0000ccae,10.1.0.11,91.189.91.48,52,52756,443
1631548415.945818000,,0x000065af,10.1.0.11,142.250.152.95,52,55960,443
1631548415.946728000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548417.993802000,,0x00001a3f,10.1.0.11,142.250.152.95,52,55956,443
1631548417.994448000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548418.505828000,,0x0000a02d,10.1.0.11,142.250.152.95,52,55958,443
1631548418.506802000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548431.049873000,,0x000065b0,10.1.0.11,142.250.152.95,52,55960,443
1631548431.050732000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548432.585843000,,0x0000a6f3,10.1.0.11,169.254.169.254,40,55518,80
1631548432.586156000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55518
1631548433.097846000,,0x00001a40,10.1.0.11,142.250.152.95,52,55956,443
1631548433.098771000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548433.609840000,,0x0000a02e,10.1.0.11,142.250.152.95,52,55958,443
1631548433.610866000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548438.729846000,,0x0000b1ae,10.1.0.11,169.254.169.254,40,55526,80
1631548438.730241000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55526
1631548446.153810000,,0x000065b1,10.1.0.11,142.250.152.95,52,55960,443
1631548446.154966000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548448.201833000,,0x00001a41,10.1.0.11,142.250.152.95,52,55956,443
1631548448.202858000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548448.713802000,,0x0000a02f,10.1.0.11,142.250.152.95,52,55958,443
1631548448.714744000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548451.779135000,,,,,,,
1631548451.779161000,,,,,,,
1631548461.210505000,,0x00000000,169.254.169.254,10.1.0.11,4451,80,55518
1631548461.210555000,,0x0000a6f4,10.1.0.11,169.254.169.254,40,55518,80
1631548461.211137000,,0x0000a6f5,10.1.0.11,169.254.169.254,267,55518,80
1631548461.211258000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55518
1631548461.211361000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55518
1631548461.257859000,,0x000065b2,10.1.0.11,142.250.152.95,52,55960,443
1631548461.259170000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548463.305839000,,0x00001a42,10.1.0.11,142.250.152.95,52,55956,443
1631548463.306906000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548463.817833000,,0x0000a030,10.1.0.11,142.250.152.95,52,55958,443
1631548463.818670000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548466.377846000,,,,,,,
1631548466.378206000,,,,,,,
1631548468.355417000,,0x00000000,169.254.169.254,10.1.0.11,4451,80,55526
1631548468.355459000,,0x0000b1af,10.1.0.11,169.254.169.254,40,55526,80
1631548468.356445000,,0x0000b1b0,10.1.0.11,169.254.169.254,277,55526,80
1631548468.356567000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55526
1631548468.356601000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55526
1631548476.361833000,,0x000065b3,10.1.0.11,142.250.152.95,52,55960,443
1631548476.362563000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548478.409845000,,0x00001a43,10.1.0.11,142.250.152.95,52,55956,443
1631548478.411060000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548478.921856000,,0x0000a031,10.1.0.11,142.250.152.95,52,55958,443
1631548478.923076000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548491.465834000,,0x000065b4,10.1.0.11,142.250.152.95,52,55960,443
1631548491.467441000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548491.977808000,,0x0000a6f6,10.1.0.11,169.254.169.254,40,55518,80
1631548491.978184000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55518
1631548493.513849000,,0x00001a44,10.1.0.11,142.250.152.95,52,55956,443
1631548493.514705000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548494.025895000,,0x0000a032,10.1.0.11,142.250.152.95,52,55958,443
1631548494.026680000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548500.169927000,,0x0000b1b1,10.1.0.11,169.254.169.254,40,55526,80
1631548500.170414000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55526
1631548506.569851000,,0x000065b5,10.1.0.11,142.250.152.95,52,55960,443
1631548506.570942000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548508.617841000,,0x00001a45,10.1.0.11,142.250.152.95,52,55956,443
1631548508.618753000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548509.129828000,,0x0000a033,10.1.0.11,142.250.152.95,52,55958,443
1631548509.130940000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548511.778311000,,,,,,,
1631548511.778329000,,,,,,,
1631548521.228576000,,0x00000000,169.254.169.254,10.1.0.11,4451,80,55518
1631548521.228615000,,0x0000a6f7,10.1.0.11,169.254.169.254,40,55518,80
1631548521.229046000,,0x0000a6f8,10.1.0.11,169.254.169.254,267,55518,80
1631548521.229175000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55518
1631548521.229359000,,0x00000000,169.254.169.254,10.1.0.11,40,80,55518
1631548521.673841000,,0x000065b6,10.1.0.11,142.250.152.95,52,55960,443
1631548521.674674000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55960
1631548522.102268000,,0x00000000,142.250.152.95,10.1.0.11,125,443,55956
1631548522.102317000,,0x00001a46,10.1.0.11,142.250.152.95,52,55956,443
1631548522.102508000,,0x00001a47,10.1.0.11,142.250.152.95,76,55956,443
1631548522.102535000,,0x00001a48,10.1.0.11,142.250.152.95,52,55956,443
1631548522.102890000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548522.103196000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55956
1631548522.103205000,,0x00001a49,10.1.0.11,142.250.152.95,52,55956,443
1631548522.103238000,,0x000022ca,10.1.0.11,169.254.169.254,79,,
1631548522.103311000,,0x000022cb,10.1.0.11,169.254.169.254,79,,
1631548522.106747000,,0x00000000,169.254.169.254,10.1.0.11,95,,
1631548522.108048000,,0x00000000,169.254.169.254,10.1.0.11,107,,
1631548522.108427000,,0x00003691,10.1.0.11,172.253.114.95,60,33806,443
1631548522.109305000,,0x00000000,172.253.114.95,10.1.0.11,60,443,33806
1631548522.109322000,0.000895000,0x00003692,10.1.0.11,172.253.114.95,52,33806,443
1631548522.109622000,0.000895000,0x00003693,10.1.0.11,172.253.114.95,339,33806,443
1631548522.109748000,0.000895000,0x00000000,172.253.114.95,10.1.0.11,52,443,33806
1631548522.110299000,0.000895000,0x00000000,172.253.114.95,10.1.0.11,3148,443,33806
1631548522.110305000,0.000895000,0x00003694,10.1.0.11,172.253.114.95,52,33806,443
1631548522.111260000,0.000895000,0x00003695,10.1.0.11,172.253.114.95,116,33806,443
1631548522.111330000,0.000895000,0x00003696,10.1.0.11,172.253.114.95,129,33806,443
1631548522.111546000,0.000895000,0x00000000,172.253.114.95,10.1.0.11,114,443,33806
1631548522.111553000,0.000895000,0x00003697,10.1.0.11,172.253.114.95,52,33806,443
1631548522.111616000,0.000895000,0x00000000,172.253.114.95,10.1.0.11,83,443,33806
1631548522.111621000,0.000895000,0x00003698,10.1.0.11,172.253.114.95,52,33806,443
1631548522.111703000,0.000895000,0x00003699,10.1.0.11,172.253.114.95,83,33806,443
1631548522.117095000,0.000895000,0x00000000,172.253.114.95,10.1.0.11,52,443,33806
1631548522.479647000,,0x00000000,142.250.152.95,10.1.0.11,125,443,55958
1631548522.479698000,,0x0000a034,10.1.0.11,142.250.152.95,52,55958,443
1631548522.479976000,,0x0000a035,10.1.0.11,142.250.152.95,76,55958,443
1631548522.480007000,,0x0000a036,10.1.0.11,142.250.152.95,52,55958,443
1631548522.480214000,,0x00000000,142.250.152.95,10.1.0.11,64,443,55958
1631548522.480226000,,0x0000a037,10.1.0.11,142.250.152.95,76,55958,443
1631548522.480346000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548522.480403000,,0x00000000,142.250.152.95,10.1.0.11,52,443,55958
1631548522.480413000,,0x00000000,10.1.0.11,142.250.152.95,52,55958,443
1631548522.480443000,,0x00000000,142.250.152.95,10.1.0.11,64,443,55958
1631548522.480924000,,0x000068b1,10.1.0.11,172.253.114.95,60,33808,443
1631548522.481865000,,0x00000000,172.253.114.95,10.1.0.11,60,443,33808
1631548522.481881000,0.000957000,0x000068b2,10.1.0.11,172.253.114.95,52,33808,443
1631548522.482075000,0.000957000,0x000068b3,10.1.0.11,172.253.114.95,339,33808,443
1631548522.482307000,0.000957000,0x00000000,172.253.114.95,10.1.0.11,52,443,33808
1631548522.483107000,0.000957000,0x00000000,172.253.114.95,10.1.0.11,3149,443,33808
1631548522.483116000,0.000957000,0x000068b4,10.1.0.11,172.253.114.95,52,33808,443
