timestamp,cpu_util_experiment-syncmesh-with-latency-3-node-instance-2,io_read_experiment-syncmesh-with-latency-3-node-instance-2,io_write_experiment-syncmesh-with-latency-3-node-instance-2,iops_read_experiment-syncmesh-with-latency-3-node-instance-2,iops_write_experiment-syncmesh-with-latency-3-node-instance-2,mem_buffered_experiment-syncmesh-with-latency-3-node-instance-2,mem_cached_experiment-syncmesh-with-latency-3-node-instance-2,mem_free_experiment-syncmesh-with-latency-3-node-instance-2,mem_slab_experiment-syncmesh-with-latency-3-node-instance-2,mem_used_experiment-syncmesh-with-latency-3-node-instance-2,mem_perc_buffered_experiment-syncmesh-with-latency-3-node-instance-2,mem_perc_cached_experiment-syncmesh-with-latency-3-node-instance-2,mem_perc_free_experiment-syncmesh-with-latency-3-node-instance-2,mem_perc_slab_experiment-syncmesh-with-latency-3-node-instance-2,mem_perc_used_experiment-syncmesh-with-latency-3-node-instance-2,cpu_util_experiment-syncmesh-with-latency-3-node-instance-3,io_read_experiment-syncmesh-with-latency-3-node-instance-3,io_write_experiment-syncmesh-with-latency-3-node-instance-3,iops_read_experiment-syncmesh-with-latency-3-node-instance-3,iops_write_experiment-syncmesh-with-latency-3-node-instance-3,mem_buffered_experiment-syncmesh-with-latency-3-node-instance-3,mem_cached_experiment-syncmesh-with-latency-3-node-instance-3,mem_free_experiment-syncmesh-with-latency-3-node-instance-3,mem_slab_experiment-syncmesh-with-latency-3-node-instance-3,mem_used_experiment-syncmesh-with-latency-3-node-instance-3,mem_perc_buffered_experiment-syncmesh-with-latency-3-node-instance-3,mem_perc_cached_experiment-syncmesh-with-latency-3-node-instance-3,mem_perc_free_experiment-syncmesh-with-latency-3-node-instance-3,mem_perc_slab_experiment-syncmesh-with-latency-3-node-instance-3,mem_perc_used_experiment-syncmesh-with-latency-3-node-instance-3,cpu_util_experiment-syncmesh-with-latency-3-node-instance-1,io_read_experiment-syncmesh-with-latency-3-node-instance-1,io_write_experiment-syncmesh-with-latency-3-node-instance-1,iops_read_experiment-syncmesh-with-latency-3-node-instance-1,iops_write_experiment-syncmesh-with-latency-3-node-instance-1,mem_buffered_experiment-syncmesh-with-latency-3-node-instance-1,mem_cached_experiment-syncmesh-with-latency-3-node-instance-1,mem_free_experiment-syncmesh-with-latency-3-node-instance-1,mem_slab_experiment-syncmesh-with-latency-3-node-instance-1,mem_used_experiment-syncmesh-with-latency-3-node-instance-1,mem_perc_buffered_experiment-syncmesh-with-latency-3-node-instance-1,mem_perc_cached_experiment-syncmesh-with-latency-3-node-instance-1,mem_perc_free_experiment-syncmesh-with-latency-3-node-instance-1,mem_perc_slab_experiment-syncmesh-with-latency-3-node-instance-1,mem_perc_used_experiment-syncmesh-with-latency-3-node-instance-1,cpu_util_experiment-syncmesh-with-latency-3-client-instance,io_read_experiment-syncmesh-with-latency-3-client-instance,io_write_experiment-syncmesh-with-latency-3-client-instance,iops_read_experiment-syncmesh-with-latency-3-client-instance,iops_write_experiment-syncmesh-with-latency-3-client-instance,mem_buffered_experiment-syncmesh-with-latency-3-client-instance,mem_cached_experiment-syncmesh-with-latency-3-client-instance,mem_free_experiment-syncmesh-with-latency-3-client-instance,mem_slab_experiment-syncmesh-with-latency-3-client-instance,mem_used_experiment-syncmesh-with-latency-3-client-instance,mem_perc_buffered_experiment-syncmesh-with-latency-3-client-instance,mem_perc_cached_experiment-syncmesh-with-latency-3-client-instance,mem_perc_free_experiment-syncmesh-with-latency-3-client-instance,mem_perc_slab_experiment-syncmesh-with-latency-3-client-instance,mem_perc_used_experiment-syncmesh-with-latency-3-client-instance,cpu_util_experiment-syncmesh-with-latency-3-test-orchestrator,io_read_experiment-syncmesh-with-latency-3-test-orchestrator,io_write_experiment-syncmesh-with-latency-3-test-orchestrator,iops_read_experiment-syncmesh-with-latency-3-test-orchestrator,iops_write_experiment-syncmesh-with-latency-3-test-orchestrator,mem_buffered_experiment-syncmesh-with-latency-3-test-orchestrator,mem_cached_experiment-syncmesh-with-latency-3-test-orchestrator,mem_free_experiment-syncmesh-with-latency-3-test-orchestrator,mem_slab_experiment-syncmesh-with-latency-3-test-orchestrator,mem_used_experiment-syncmesh-with-latency-3-test-orchestrator,mem_perc_buffered_experiment-syncmesh-with-latency-3-test-orchestrator,mem_perc_cached_experiment-syncmesh-with-latency-3-test-orchestrator,mem_perc_free_experiment-syncmesh-with-latency-3-test-orchestrator,mem_perc_slab_experiment-syncmesh-with-latency-3-test-orchestrator,mem_perc_used_experiment-syncmesh-with-latency-3-test-orchestrator
2021-09-29 21:14:00,0.02018571928428893,0.0,0.0,0.0,0.0,59273216.0,2867433472.0,286621696.0,190853120.0,451133440.0,1.537442,74.376115,7.434456,4.95039,11.701598,0.021483419538609876,0.0,0.0,0.0,0.0,58687488.0,2867367936.0,294510592.0,192053248.0,442703872.0,1.522246,74.374257,7.639064,4.981508,11.482925,0.018314714149922414,0.0,0.0,0.0,0.0,59097088.0,2871865344.0,261992448.0,192425984.0,469934080.0,1.532873,74.49107,6.795617,4.991187,12.189253,0.0022799725318909244,0.0,0.0,0.0,0.0,43053056.0,1579139072.0,1990078464.0,117899264.0,125145088.0,1.11672,40.960054,51.619089,3.058097,3.246041,0.0025211124077607395,0.0,0.0,0.0,0.0,30597120.0,639524864.0,2977579008.0,76029952.0,131584000.0,0.793635,16.588135,77.233094,1.972081,3.413054
2021-09-29 21:13:00,0.020313423463805217,0.0,0.0,0.0,0.0,59195392.0,2867343360.0,286846976.0,190832640.0,451096576.0,1.535423,74.373778,7.440299,4.949859,11.700641,0.02123949362291692,0.0,0.0,0.0,0.0,58630144.0,2867347456.0,294178816.0,192073728.0,443092992.0,1.520758,74.373726,7.630458,4.98204,11.493018,0.019050298457239972,0.0,0.0,0.0,0.0,59023360.0,2871754752.0,262250496.0,192421888.0,469864448.0,1.530961,74.488201,6.802311,4.991081,12.187447,0.0022607234605118267,0.0,0.0,0.0,0.0,43048960.0,1579134976.0,1989849088.0,117899264.0,125382656.0,1.116613,40.959947,51.61314,3.058097,3.252203,0.002360088071168557,0.0,0.0,0.0,0.0,30580736.0,639471616.0,2977447936.0,76029952.0,131784704.0,0.79321,16.586754,77.229694,1.972081,3.41826
2021-09-29 21:12:00,0.02024146255938272,0.0,0.0,0.0,0.0,59146240.0,2867318784.0,287072256.0,190820352.0,450957312.0,1.534148,74.37314,7.446143,4.94954,11.697029,0.019308509496757626,0.0,0.0,0.0,0.0,58548224.0,2867318784.0,294567936.0,192020480.0,442867712.0,1.518633,74.372982,7.640551,4.980659,11.487175,0.01823117409998834,0.0,0.0,0.0,0.0,58937344.0,2871730176.0,262766592.0,192413696.0,469467136.0,1.52873,74.487564,6.815697,4.990868,12.177141,0.0021320502056871265,0.0,0.0,0.0,0.0,43048960.0,1579134976.0,1989586944.0,117899264.0,125644800.0,1.116613,40.959947,51.60634,3.058097,3.259002,0.0024328144679860958,0.0,0.0,0.0,0.0,30580736.0,639471616.0,2977284096.0,76029952.0,131948544.0,0.79321,16.586754,77.225444,1.972081,3.42251
2021-09-29 21:11:00,0.021215935894342407,0.0,0.0,0.0,0.0,59088896.0,2867286016.0,286814208.0,190824448.0,451301376.0,1.532661,74.37229,7.439449,4.949646,11.705954,0.020523952631982922,0.0,0.0,0.0,0.0,58474496.0,2867257344.0,294277120.0,192032768.0,443281408.0,1.516721,74.371388,7.633008,4.980977,11.497905,0.018112646278781123,0.0,0.0,0.0,0.0,58863616.0,2871701504.0,262283264.0,192430080.0,470036480.0,1.526817,74.48682,6.803161,4.991293,12.191909,0.002359799521769901,0.0,0.0,0.0,0.0,43048960.0,1579134976.0,1989390336.0,117899264.0,125841408.0,1.116613,40.959947,51.60124,3.058097,3.264102,0.0027222646861905747,0.0,0.0,0.0,0.0,30572544.0,639471616.0,2977247232.0,76029952.0,131993600.0,0.792997,16.586754,77.224488,1.972081,3.423679
2021-09-29 21:10:00,0.021480268313113983,0.0,0.0,0.0,0.0,59019264.0,2867269632.0,284975104.0,190844928.0,453206016.0,1.530855,74.371865,7.391746,4.950177,11.755357,0.026121534585916113,0.0,0.0,0.0,0.0,58376192.0,2867236864.0,292732928.0,192036864.0,444940288.0,1.514171,74.370857,7.592954,4.981083,11.540934,0.01769686309703123,0.0,0.0,0.0,0.0,58781696.0,2871681024.0,259936256.0,192434176.0,472481792.0,1.524692,74.486289,6.742283,4.9914,12.255336,0.002785739164051885,0.0,0.0,0.0,0.0,43028480.0,1579139072.0,1987121152.0,117932032.0,128094208.0,1.116082,40.960054,51.542382,3.058947,3.322536,0.020254832815075712,0.0,0.0,0.0,0.0,30556160.0,639475712.0,2974760960.0,76021760.0,134500352.0,0.792572,16.586861,77.159999,1.971869,3.488699
2021-09-29 21:09:00,0.03644990567304518,0.0,0.0,0.0,0.0,58941440.0,2867224576.0,285265920.0,190840832.0,453042176.0,1.528836,74.370696,7.39929,4.950071,11.751107,0.07006624633022558,0.0,0.0,0.0,0.0,58298368.0,2867195904.0,292990976.0,192004096.0,444833792.0,1.512153,74.369795,7.599648,4.980234,11.538171,0.05368756412935672,0.0,0.0,0.0,0.0,58707968.0,2871635968.0,260485120.0,192421888.0,472064000.0,1.52278,74.48512,6.75652,4.991081,12.244499,0.04674810750653127,0.0,0.0,0.0,0.0,43028480.0,1579139072.0,1986891776.0,117932032.0,128323584.0,1.116082,40.960054,51.536432,3.058947,3.328485,0.030100922925217568,0.0,0.0,0.0,0.0,30556160.0,639475712.0,2974498816.0,76025856.0,134758400.0,0.792572,16.586861,77.153199,1.971975,3.495393
2021-09-29 21:08:00,0.0545673517520522,0.0,0.0,0.0,0.0,58880000.0,2867204096.0,285265920.0,190840832.0,453124096.0,1.527242,74.370165,7.39929,4.950071,11.753232,0.021560056531185503,0.0,0.0,0.0,0.0,58220544.0,2867171328.0,293507072.0,192004096.0,444420096.0,1.510134,74.369157,7.613034,4.980234,11.527441,0.029426150613211632,0.0,0.0,0.0,0.0,58626048.0,2871611392.0,261001216.0,192401408.0,471674880.0,1.520655,74.484483,6.769906,4.99055,12.234406,0.02494319036391393,0.0,0.0,0.0,0.0,43028480.0,1579139072.0,1986760704.0,117927936.0,128458752.0,1.116082,40.960054,51.533033,3.058841,3.331991,0.0021175580781867135,0.0,0.0,0.0,0.0,30547968.0,639475712.0,2974367744.0,76025856.0,134897664.0,0.79236,16.586861,77.149799,1.971975,3.499005
2021-09-29 21:07:00,0.02072589831569568,0.0,0.0,0.0,0.0,58822656.0,2867179520.0,285523968.0,190828544.0,452960256.0,1.525755,74.369528,7.405983,4.949752,11.748982,0.022211700493105488,0.0,0.0,0.0,0.0,58142720.0,2867146752.0,293249024.0,192004096.0,444780544.0,1.508115,74.36852,7.606341,4.980234,11.53679,0.01799794220730983,0.0,0.0,0.0,0.0,58576896.0,2871586816.0,261001216.0,192425984.0,471724032.0,1.51938,74.483845,6.769906,4.991187,12.235681,0.0022919777680887893,0.0,0.0,0.0,0.0,43028480.0,1579139072.0,1986531328.0,117927936.0,128688128.0,1.116082,40.960054,51.527083,3.058841,3.337941,0.002444233961648005,0.0,0.0,0.0,0.0,30539776.0,639475712.0,2974138368.0,76025856.0,135135232.0,0.792147,16.586861,77.14385,1.971975,3.505167
2021-09-29 21:06:00,0.02093232597744314,0.0,0.0,0.0,0.0,58740736.0,2867150848.0,285265920.0,190857216.0,453300224.0,1.52363,74.368784,7.39929,4.950496,11.7578,0.023728937298030436,0.0,0.0,0.0,0.0,58064896.0,2867118080.0,293507072.0,191995904.0,444637184.0,1.506097,74.367776,7.613034,4.980021,11.533072,0.018326769340779,0.0,0.0,0.0,0.0,58490880.0,2871558144.0,261001216.0,192385024.0,471879680.0,1.517149,74.483102,6.769906,4.990125,12.239718,0.0021656642117809117,0.0,0.0,0.0,0.0,43020288.0,1579139072.0,1986334720.0,117907456.0,128913408.0,1.11587,40.960054,51.521983,3.058309,3.343784,0.0023813666159445764,0.0,0.0,0.0,0.0,30507008.0,639471616.0,2974134272.0,76054528.0,135147520.0,0.791297,16.586754,77.143744,1.972719,3.505486
2021-09-29 21:05:00,0.020790405639049443,0.0,0.0,0.0,0.0,58642432.0,2867113984.0,287531008.0,190902272.0,451125248.0,1.52108,74.367828,7.458042,4.951665,11.701385,0.020235397234952757,0.0,0.0,0.0,0.0,57987072.0,2867085312.0,296067072.0,192004096.0,442179584.0,1.504078,74.366926,7.679436,4.980234,11.469326,0.019081110736071594,0.0,0.0,0.0,0.0,58400768.0,2871398400.0,263856128.0,192360448.0,469299200.0,1.514812,74.478958,6.843958,4.989487,12.172785,0.002134586656584266,0.0,0.0,0.0,0.0,43003904.0,1578999808.0,1988468736.0,117932032.0,126910464.0,1.115445,40.956441,51.577336,3.058947,3.291831,0.0021657729204683563,0.0,0.0,0.0,0.0,30461952.0,639463424.0,2976624640.0,76128256.0,132636672.0,0.790129,16.586542,77.208339,1.974631,3.440359
