frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632657834.733389000,,0x000002f9,10.0.0.255,10.1.0.11,52,56366,22
1632657834.738076000,,0x000002fa,10.0.0.255,10.1.0.11,52,56366,22
1632657834.738125000,,0x000002fb,10.0.0.255,10.1.0.11,88,56366,22
1632657834.738151000,,0x000002fc,10.0.0.255,10.1.0.11,112,56366,22
1632657834.739460000,,0x000002fd,10.0.0.255,10.1.0.11,52,56366,22
1632657834.772058000,,0x000002fe,10.0.0.255,10.1.0.11,52,56366,22
1632657834.859240000,,0x00003289,10.1.0.11,169.254.169.254,78,,
1632657834.859348000,,0x0000328a,10.1.0.11,169.254.169.254,78,,
1632657834.871811000,,0x00000000,169.254.169.254,10.1.0.11,174,,
1632657834.876934000,,0x00000000,169.254.169.254,10.1.0.11,134,,
1632657834.877418000,,0x0000bac9,10.1.0.11,91.189.88.184,60,36100,443
1632657834.954872000,,0x00000000,91.189.88.184,10.1.0.11,60,443,36100
1632657834.954921000,0.077503000,0x0000baca,10.1.0.11,91.189.88.184,52,36100,443
1632657834.955355000,0.077503000,0x0000bacb,10.1.0.11,91.189.88.184,569,36100,443
1632657835.032373000,0.077503000,0x000098e0,91.189.88.184,10.1.0.11,2868,443,36100
1632657835.032417000,0.077503000,0x0000bacc,10.1.0.11,91.189.88.184,52,36100,443
1632657835.037486000,0.077503000,0x000098e2,91.189.88.184,10.1.0.11,1845,443,36100
1632657835.037508000,0.077503000,0x0000bacd,10.1.0.11,91.189.88.184,52,36100,443
1632657835.038190000,0.077503000,0x0000bace,10.1.0.11,91.189.88.184,132,36100,443
1632657835.038284000,0.077503000,0x0000bacf,10.1.0.11,91.189.88.184,257,36100,443
1632657835.115091000,0.077503000,0x000098e4,91.189.88.184,10.1.0.11,323,443,36100
1632657835.115140000,0.077503000,0x0000bad0,10.1.0.11,91.189.88.184,52,36100,443
1632657835.115583000,0.077503000,0x000098e5,91.189.88.184,10.1.0.11,2868,443,36100
1632657835.115598000,0.077503000,0x0000bad1,10.1.0.11,91.189.88.184,52,36100,443
1632657835.120913000,0.077503000,0x000098e7,91.189.88.184,10.1.0.11,2786,443,36100
1632657835.120939000,0.077503000,0x0000bad2,10.1.0.11,91.189.88.184,52,36100,443
1632657835.121764000,,0x0000bad3,10.1.0.11,91.189.88.184,52,36100,443
1632657836.247034000,,0x000092d5,10.1.0.11,8.8.8.8,60,,
1632657836.247083000,,0x000092d6,10.1.0.11,8.8.8.8,60,,
1632657836.247533000,,0x000095df,8.8.8.8,10.1.0.11,135,,
1632657836.247792000,,0x000095e0,8.8.8.8,10.1.0.11,135,,
1632657836.249493000,,0x000092d7,10.1.0.11,8.8.8.8,60,,
1632657836.249541000,,0x000092d8,10.1.0.11,8.8.8.8,60,,
1632657836.249942000,,0x0000bf20,8.8.8.8,10.1.0.11,135,,
1632657836.250368000,,0x00002ed8,8.8.8.8,10.1.0.11,135,,
1632657841.247035000,,0x000095c9,10.1.0.11,8.8.8.8,60,,
1632657841.247084000,,0x000095ca,10.1.0.11,8.8.8.8,60,,
1632657841.247564000,,0x00009b2d,8.8.8.8,10.1.0.11,135,,
1632657841.247759000,,0x0000388f,8.8.8.8,10.1.0.11,135,,
1632657841.249476000,,0x000095cb,10.1.0.11,8.8.8.8,60,,
1632657841.249514000,,0x000095cc,10.1.0.11,8.8.8.8,60,,
1632657841.250141000,,0x000003b7,8.8.8.8,10.1.0.11,135,,
1632657841.250195000,,0x0000332f,8.8.8.8,10.1.0.11,135,,
1632657844.515684000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,44948
1632657844.515684000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,44948
1632657844.515684000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,44948
1632657844.515684000,,0x00000000,169.254.169.254,10.1.0.11,531,80,44948
1632657844.515794000,,0x00007281,10.1.0.11,169.254.169.254,40,44948,80
1632657844.516189000,,0x00007282,10.1.0.11,169.254.169.254,267,44948,80
1632657844.516309000,,0x00000000,169.254.169.254,10.1.0.11,40,80,44948
1632657844.516309000,,0x00000000,169.254.169.254,10.1.0.11,40,80,44948
1632657846.052175000,,0x0000cda0,10.1.0.11,172.217.13.202,52,43930,443
1632657846.053013000,,0x00000000,172.217.13.202,10.1.0.11,52,443,43930
1632657846.247073000,,0x00009885,10.1.0.11,8.8.8.8,60,,
1632657846.247136000,,0x00009886,10.1.0.11,8.8.8.8,60,,
1632657846.247597000,,0x0000d595,8.8.8.8,10.1.0.11,135,,
1632657846.247916000,,0x000009f8,8.8.8.8,10.1.0.11,135,,
1632657846.249757000,,0x00009887,10.1.0.11,8.8.8.8,60,,
1632657846.249808000,,0x00009888,10.1.0.11,8.8.8.8,60,,
1632657846.250521000,,0x0000ece9,8.8.8.8,10.1.0.11,135,,
1632657846.250557000,,0x00002894,8.8.8.8,10.1.0.11,135,,
1632657847.844188000,,0x00003622,10.1.0.11,172.217.13.202,52,43938,443
1632657847.844897000,,0x00000000,172.217.13.202,10.1.0.11,52,443,43938
1632657851.246993000,,0x00009a7a,10.1.0.11,8.8.8.8,60,,
1632657851.247041000,,0x00009a7b,10.1.0.11,8.8.8.8,60,,
1632657851.247734000,,0x00003345,8.8.8.8,10.1.0.11,135,,
1632657851.247880000,,0x000030d2,8.8.8.8,10.1.0.11,135,,
1632657851.249602000,,0x00009a7c,10.1.0.11,8.8.8.8,60,,
1632657851.249654000,,0x00009a7d,10.1.0.11,8.8.8.8,60,,
1632657851.250029000,,0x00001789,8.8.8.8,10.1.0.11,135,,
1632657851.250425000,,0x000060f0,8.8.8.8,10.1.0.11,135,,
1632657851.712279000,,0x00003cce,10.1.0.11,169.254.169.254,76,,
1632657851.712719000,,0x00000000,169.254.169.254,10.1.0.11,76,,
1632657854.101920000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,44960
1632657854.101920000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,44960
1632657854.101920000,,0x00000000,169.254.169.254,10.1.0.11,1460,80,44960
1632657854.101920000,,0x00000000,169.254.169.254,10.1.0.11,531,80,44960
1632657854.102046000,,0x0000494a,10.1.0.11,169.254.169.254,40,44960,80
1632657854.102844000,,0x0000494b,10.1.0.11,169.254.169.254,277,44960,80
1632657854.102942000,,0x00000000,169.254.169.254,10.1.0.11,40,80,44960
1632657854.102955000,,0x00000000,169.254.169.254,10.1.0.11,40,80,44960
1632657856.247021000,,0x00009af0,10.1.0.11,8.8.8.8,60,,
1632657856.247082000,,0x00009af1,10.1.0.11,8.8.8.8,60,,
1632657856.247554000,,0x0000ea06,8.8.8.8,10.1.0.11,135,,
1632657856.247823000,,0x00001287,8.8.8.8,10.1.0.11,135,,
1632657856.249443000,,0x00009af2,10.1.0.11,8.8.8.8,60,,
1632657856.249497000,,0x00009af3,10.1.0.11,8.8.8.8,60,,
1632657856.250131000,,0x00005498,8.8.8.8,10.1.0.11,135,,
1632657856.250149000,,0x0000df9c,8.8.8.8,10.1.0.11,135,,
1632657856.292167000,,,,,,,
1632657856.292331000,,,,,,,
1632657861.156181000,,0x0000cda1,10.1.0.11,172.217.13.202,52,43930,443
1632657861.156928000,,0x00000000,172.217.13.202,10.1.0.11,52,443,43930
1632657861.247012000,,0x00009f90,10.1.0.11,8.8.8.8,60,,
1632657861.247061000,,0x00009f91,10.1.0.11,8.8.8.8,60,,
1632657861.247675000,,0x000029fa,8.8.8.8,10.1.0.11,135,,
1632657861.247740000,,0x00008fb8,8.8.8.8,10.1.0.11,135,,
1632657861.249507000,,0x00009f92,10.1.0.11,8.8.8.8,60,,
1632657861.249556000,,0x00009f93,10.1.0.11,8.8.8.8,60,,
1632657861.249914000,,0x000045b7,8.8.8.8,10.1.0.11,135,,
1632657861.250360000,,0x0000340d,8.8.8.8,10.1.0.11,135,,
1632657862.948190000,,0x00003623,10.1.0.11,172.217.13.202,52,43938,443
1632657862.948775000,,0x00000000,172.217.13.202,10.1.0.11,52,443,43938
1632657866.247022000,,0x0000a17f,10.1.0.11,8.8.8.8,60,,
1632657866.247077000,,0x0000a180,10.1.0.11,8.8.8.8,60,,
1632657866.247847000,,0x00003854,8.8.8.8,10.1.0.11,135,,
1632657866.247847000,,0x0000007a,8.8.8.8,10.1.0.11,135,,
1632657866.249751000,,0x0000a181,10.1.0.11,8.8.8.8,60,,
1632657866.249810000,,0x0000a182,10.1.0.11,8.8.8.8,60,,
1632657866.250078000,,0x000014b3,8.8.8.8,10.1.0.11,135,,
1632657866.250591000,,0x00003e4d,8.8.8.8,10.1.0.11,135,,
1632657871.247035000,,0x0000a4ea,10.1.0.11,8.8.8.8,60,,
1632657871.247087000,,0x0000a4eb,10.1.0.11,8.8.8.8,60,,
1632657871.247795000,,0x00002f69,8.8.8.8,10.1.0.11,135,,
1632657871.247795000,,0x00003e0c,8.8.8.8,10.1.0.11,135,,
1632657871.249669000,,0x0000a4ec,10.1.0.11,8.8.8.8,60,,
1632657871.249717000,,0x0000a4ed,10.1.0.11,8.8.8.8,60,,
1632657871.250142000,,0x00008905,8.8.8.8,10.1.0.11,135,,
1632657871.250387000,,0x0000d725,8.8.8.8,10.1.0.11,135,,
1632657876.247034000,,0x0000a78e,10.1.0.11,8.8.8.8,60,,
1632657876.247098000,,0x0000a78f,10.1.0.11,8.8.8.8,60,,
1632657876.247425000,,0x000083f4,8.8.8.8,10.1.0.11,135,,
1632657876.247942000,,0x000083f5,8.8.8.8,10.1.0.11,135,,
1632657876.249768000,,0x0000a790,10.1.0.11,8.8.8.8,60,,
1632657876.249819000,,0x0000a791,10.1.0.11,8.8.8.8,60,,
1632657876.250173000,,0x0000189f,8.8.8.8,10.1.0.11,135,,
1632657876.250454000,,0x00007183,8.8.8.8,10.1.0.11,135,,
1632657876.260137000,,0x00007283,10.1.0.11,169.254.169.254,40,44948,80
1632657876.260146000,,0x0000cda2,10.1.0.11,172.217.13.202,52,43930,443
1632657876.260384000,,0x00000000,169.254.169.254,10.1.0.11,40,80,44948
1632657876.260797000,,0x00000000,172.217.13.202,10.1.0.11,52,443,43930
1632657878.052194000,,0x00003624,10.1.0.11,172.217.13.202,52,43938,443
1632657878.052919000,,0x00000000,172.217.13.202,10.1.0.11,52,443,43938
1632657878.092149000,,,,,,,
1632657878.092164000,,,,,,,
1632657881.247062000,,0x0000aa52,10.1.0.11,8.8.8.8,60,,
1632657881.247115000,,0x0000aa53,10.1.0.11,8.8.8.8,60,,
1632657881.247925000,,0x0000d4d7,8.8.8.8,10.1.0.11,135,,
1632657881.247970000,,0x0000534d,8.8.8.8,10.1.0.11,135,,
1632657881.249846000,,0x0000aa54,10.1.0.11,8.8.8.8,60,,
1632657881.249895000,,0x0000aa55,10.1.0.11,8.8.8.8,60,,
1632657881.250538000,,0x00005e5f,8.8.8.8,10.1.0.11,135,,
1632657881.250572000,,0x0000cb69,8.8.8.8,10.1.0.11,135,,
1632657881.380164000,,,,,,,
1632657881.380324000,,,,,,,
1632657884.452197000,,0x0000494c,10.1.0.11,169.254.169.254,40,44960,80
1632657884.452435000,,0x00000000,169.254.169.254,10.1.0.11,40,80,44960
1632657886.247079000,,0x0000ac3d,10.1.0.11,8.8.8.8,60,,
1632657886.247159000,,0x0000ac3e,10.1.0.11,8.8.8.8,60,,
1632657886.247985000,,0x000008b9,8.8.8.8,10.1.0.11,135,,
1632657886.247985000,,0x00004d18,8.8.8.8,10.1.0.11,135,,
1632657886.249770000,,0x0000ac3f,10.1.0.11,8.8.8.8,60,,
1632657886.249820000,,0x0000ac40,10.1.0.11,8.8.8.8,60,,
1632657886.250478000,,0x00007905,8.8.8.8,10.1.0.11,135,,
