timestamp,cpu_util_experiment-advanced-mongo-with-latency-3-node-instance-2,io_read_experiment-advanced-mongo-with-latency-3-node-instance-2,io_write_experiment-advanced-mongo-with-latency-3-node-instance-2,iops_read_experiment-advanced-mongo-with-latency-3-node-instance-2,iops_write_experiment-advanced-mongo-with-latency-3-node-instance-2,cpu_util_experiment-advanced-mongo-with-latency-3-node-instance-3,io_read_experiment-advanced-mongo-with-latency-3-node-instance-3,io_write_experiment-advanced-mongo-with-latency-3-node-instance-3,iops_read_experiment-advanced-mongo-with-latency-3-node-instance-3,iops_write_experiment-advanced-mongo-with-latency-3-node-instance-3,cpu_util_experiment-advanced-mongo-with-latency-3-node-instance-1,io_read_experiment-advanced-mongo-with-latency-3-node-instance-1,io_write_experiment-advanced-mongo-with-latency-3-node-instance-1,iops_read_experiment-advanced-mongo-with-latency-3-node-instance-1,iops_write_experiment-advanced-mongo-with-latency-3-node-instance-1,cpu_util_experiment-advanced-mongo-with-latency-3-central-config-server,io_read_experiment-advanced-mongo-with-latency-3-central-config-server,io_write_experiment-advanced-mongo-with-latency-3-central-config-server,iops_read_experiment-advanced-mongo-with-latency-3-central-config-server,iops_write_experiment-advanced-mongo-with-latency-3-central-config-server,cpu_util_experiment-advanced-mongo-with-latency-3-central-server,io_read_experiment-advanced-mongo-with-latency-3-central-server,io_write_experiment-advanced-mongo-with-latency-3-central-server,iops_read_experiment-advanced-mongo-with-latency-3-central-server,iops_write_experiment-advanced-mongo-with-latency-3-central-server,cpu_util_experiment-advanced-mongo-with-latency-3-client-instance,io_read_experiment-advanced-mongo-with-latency-3-client-instance,io_write_experiment-advanced-mongo-with-latency-3-client-instance,iops_read_experiment-advanced-mongo-with-latency-3-client-instance,iops_write_experiment-advanced-mongo-with-latency-3-client-instance
2021-09-19 13:54:00,0.014243556951834553,0,1027583,0,63,0.014959361542472986,0,1004529,0,66,0.011117878652009475,0,1667065,0,127,0.014313694893983117,0,2016078,0,147,0.003944682686087238,0,361815,0,26,0.0011817061680872599,0,0,0,0
2021-09-19 13:53:00,0.014377655968837643,0,1175885,0,84,0.014035066249868559,0,1168409,0,83,0.01123290128652646,0,1729015,0,135,0.014311304857258733,0,2258570,0,178,0.0038817380557759408,0,412516,0,34,0.001177572293943759,0,4036,0,1
2021-09-19 13:52:00,0.014444542033585606,0,1150285,0,76,0.014183919977891434,0,1111019,0,72,0.011861782893459369,0,1953635,0,160,0.015125698358641177,0,2221192,0,160,0.003940473757984838,0,373642,0,28,0.0012334515340630976,0,16203,0,3
2021-09-19 13:51:00,0.014730337489939889,24217,1097010,1,70,0.015762592870145416,0,1090184,0,70,0.01217903117629883,0,1867964,0,151,0.015184923141622638,0,2263914,0,163,0.004044391324702682,0,360721,0,26,0.0012188751610499556,0,241,0,0
2021-09-19 13:50:00,0.014532962764318806,8551,1044125,0,64,0.014783575052424188,0,1050608,0,69,0.011757397328744427,0,1750635,0,135,0.0148494939383833,0,2197255,0,167,0.003968577593784299,0,368457,0,34,0.0011536475876331072,0,0,0,0
2021-09-19 13:49:00,0.01450522567263827,0,1052305,0,71,0.014788277009213383,0,1104042,0,77,0.011619681936542748,0,1725376,0,127,0.014819095510475696,0,2267302,0,173,0.003947401863446487,0,420709,0,29,0.0011532991062542426,0,0,0,0
2021-09-19 13:48:00,0.014396800171718856,0,1069958,0,66,0.014195349537533748,0,1077952,0,73,0.011372278050669612,0,1809046,0,136,0.014713381338867747,0,2045681,0,147,0.0039231568029149365,0,353801,0,28,0.0022875471326121517,0,108963,0,21
2021-09-19 13:47:00,0.015395966937228422,0,1539314,0,104,0.015393913680380913,0,1402929,0,94,0.011791420954895196,0,1954100,0,139,0.01574030416795485,0,2422911,0,175,0.0040102549029001015,0,424346,0,34,0.0033640720539594325,363212,368877,35,48
2021-09-19 13:46:00,0.018642588641942362,0,1697896,0,118,0.018105202856379777,0,1717588,0,120,0.017489860012519405,0,3087419,0,288,0.019859321928081878,0,3981548,0,347,0.003880580335494462,0,357899,0,23,0.0018129781287887189,5428,25667,1,5
2021-09-19 13:45:00,0.02120629576393327,0,1928831,0,154,0.020941986315686733,0,1926461,0,153,0.019806200280008093,0,3217413,0,329,0.021467145376713386,0,4158025,0,406,0.003802581620538111,0,400404,0,33,0.0011790763029016678,0,301,0,0
2021-09-19 13:44:00,0.02076343264896631,0,1790142,0,135,0.020391101614022487,0,1851363,0,146,0.019537760935102712,0,3251088,0,330,0.021229207016524754,0,3977929,0,378,0.003809477831389548,0,369369,0,25,0.001167909349177402,0,0,0,0
2021-09-19 13:43:00,0.020748657745699006,0,2039039,0,179,0.021217471478223615,0,1820378,0,150,0.02049625839896739,0,3296575,0,334,0.021605182022956627,0,4072921,0,403,0.0038381351715050488,0,388666,0,31,0.0012144602986012387,0,0,0,0
2021-09-19 13:42:00,0.02238157785551446,0,2048574,0,166,0.02193029180718137,0,1850137,0,140,0.02048176647910272,0,3323286,0,335,0.021740546017386463,0,4071509,0,388,0.0038217096446186835,0,365091,0,27,0.001296361271404578,0,0,0,0
2021-09-19 13:41:00,0.027280997066665216,0,3082714,0,277,0.02137932919235084,0,1976798,0,151,0.020322719825619135,0,3308126,0,334,0.022048846628653487,0,4294936,0,425,0.0038328123003992685,0,420611,0,37,0.0014997726588575234,0,282500,0,56
2021-09-19 13:40:00,0.02920326533114519,0,2223064,0,176,0.021334612063156063,0,1823401,0,143,0.02031515415714343,0,3335844,0,341,0.021782314915817835,0,4033371,0,388,0.003892513074940022,0,369827,0,26,0.001478009570505397,0,12291,0,3
2021-09-19 13:39:00,0.023924056323663005,0,1900872,0,148,0.021167496698406296,0,1935402,0,153,0.02078792599314833,0,3224223,0,339,0.021442135164111892,0,3882723,0,380,0.003995065761129979,0,408691,0,33,0.0012485611215254267,0,24335,0,4
2021-09-19 13:38:00,0.02318679121597948,0,2731581,0,252,0.02193439238277127,5515,2726371,1,255,0.02080217287250245,0,4136180,0,459,0.021093965345468035,0,3962706,0,389,0.009513041602739492,0,1394898,0,170,0.008008706950653751,0,1287743,0,177
2021-09-19 13:37:00,0.03853444373849394,227037,2623127,9,214,0.03738256787709607,203962,2679214,8,220,0.032741199603738856,235025,4101882,9,408,0.02177485469966811,0,4048777,0,394,0.012617460146373105,300396,904543,12,94,0.011417940654426199,157394,196816,7,24
2021-09-19 13:36:00,0.02574905565481913,80163,2183529,3,157,0.025904375548092655,97723,2329010,3,171,0.024388458780509836,72175,3679018,3,349,0.02201573006463491,0,4086847,0,413,0.004566878193250546,6804,516426,0,33,0.0045483922659139845,2350,781542,0,122
2021-09-19 13:35:00,0.023239594526244408,0,2055470,0,150,0.02158516022103735,0,2127380,0,154,0.02051014691831483,0,3604963,0,351,0.021424445574856794,0,4079830,0,407,0.00427713620516433,0,539952,0,40,0.006257548812564077,0,245707,0,49
2021-09-19 13:34:00,0.0226195208996387,0,1957195,0,142,0.02229351961923432,0,2018844,0,140,0.021130075574711783,0,3499902,0,329,0.021579711537687035,0,3852115,0,389,0.004962127453715226,0,708892,0,45,0.07261085660529194,0,3796988,0,233
2021-09-19 13:33:00,0.02225950777599479,0,2218741,0,168,0.02119990097159435,0,2173972,0,169,0.020765075200851395,0,3230179,0,313,0.020649166452384786,0,3730349,0,373,0.005395244489619699,0,528457,0,35,0.10812755952933628,0,758965,0,116
2021-09-19 13:32:00,0.022011688441385503,0,2210434,0,155,0.02166081748578345,30330,2123147,1,153,0.02088508287420486,0,3612409,0,338,0.021439265290207506,0,3958852,0,386,0.0043776047258892465,0,512274,0,36,0.006074700808341523,0,38739,0,8
