frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632657833.409045000,,0x00008c7b,10.0.0.255,10.1.0.11,52,40816,22
1632657833.412881000,,0x00008c7c,10.0.0.255,10.1.0.11,52,40816,22
1632657833.412902000,,0x00008c7d,10.0.0.255,10.1.0.11,88,40816,22
1632657833.412902000,,0x00008c7e,10.0.0.255,10.1.0.11,112,40816,22
1632657833.414286000,,0x00008c7f,10.0.0.255,10.1.0.11,52,40816,22
1632657833.447100000,,0x00008c80,10.0.0.255,10.1.0.11,52,40816,22
1632657833.559247000,,0x00002424,10.1.0.11,169.254.169.254,78,,
1632657833.559366000,,0x00002425,10.1.0.11,169.254.169.254,78,,
1632657833.561530000,,0x00000000,169.254.169.254,10.1.0.11,134,,
1632657833.638913000,,0x00000000,169.254.169.254,10.1.0.11,174,,
1632657833.639521000,,0x0000ac6a,10.1.0.11,91.189.88.184,60,56656,443
1632657833.717553000,,0x00000000,91.189.88.184,10.1.0.11,60,443,56656
1632657833.717602000,0.078081000,0x0000ac6b,10.1.0.11,91.189.88.184,52,56656,443
1632657833.718079000,0.078081000,0x0000ac6c,10.1.0.11,91.189.88.184,569,56656,443
1632657833.796027000,0.078081000,0x0000c79a,91.189.88.184,10.1.0.11,2868,443,56656
1632657833.796064000,0.078081000,0x0000ac6d,10.1.0.11,91.189.88.184,52,56656,443
1632657833.800930000,0.078081000,0x0000c79c,91.189.88.184,10.1.0.11,1845,443,56656
1632657833.800951000,0.078081000,0x0000ac6e,10.1.0.11,91.189.88.184,52,56656,443
1632657833.801738000,0.078081000,0x0000ac6f,10.1.0.11,91.189.88.184,132,56656,443
1632657833.801850000,0.078081000,0x0000ac70,10.1.0.11,91.189.88.184,257,56656,443
1632657833.878869000,0.078081000,0x0000c79e,91.189.88.184,10.1.0.11,323,443,56656
1632657833.878907000,0.078081000,0x0000ac71,10.1.0.11,91.189.88.184,52,56656,443
1632657833.879764000,0.078081000,0x0000c79f,91.189.88.184,10.1.0.11,2868,443,56656
1632657833.879775000,0.078081000,0x0000ac72,10.1.0.11,91.189.88.184,52,56656,443
1632657833.884643000,0.078081000,0x0000c7a1,91.189.88.184,10.1.0.11,2786,443,56656
1632657833.884674000,0.078081000,0x0000ac73,10.1.0.11,91.189.88.184,52,56656,443
1632657833.885533000,,0x0000ac74,10.1.0.11,91.189.88.184,52,56656,443
1632657842.041363000,,0x00000000,169.254.169.254,10.1.0.11,4340,80,45312
1632657842.041456000,,0x00005915,10.1.0.11,169.254.169.254,40,45312,80
1632657842.041938000,,0x00005916,10.1.0.11,169.254.169.254,267,45312,80
1632657842.042146000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45312
1632657842.042222000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45312
1632657844.243206000,,0x0000280e,10.1.0.11,172.217.13.138,52,58612,443
1632657844.244288000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58612
1632657844.499215000,,0x0000f342,10.1.0.11,172.217.13.138,52,58614,443
1632657844.500489000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58614
1632657850.061108000,,0x0000298f,10.1.0.11,169.254.169.254,76,,
1632657850.061648000,,0x00000000,169.254.169.254,10.1.0.11,76,,
1632657853.212926000,,0x00000000,169.254.169.254,10.1.0.11,4340,80,45320
1632657853.213067000,,0x00008c09,10.1.0.11,169.254.169.254,40,45320,80
1632657853.213896000,,0x00008c0a,10.1.0.11,169.254.169.254,277,45320,80
1632657853.214025000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45320
1632657853.214056000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45320
1632657858.323217000,,,,,,,
1632657858.323411000,,,,,,,
1632657859.347219000,,0x0000280f,10.1.0.11,172.217.13.138,52,58612,443
1632657859.348160000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58612
1632657859.603219000,,0x0000f343,10.1.0.11,172.217.13.138,52,58614,443
1632657859.604249000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58614
1632657873.171212000,,0x00005917,10.1.0.11,169.254.169.254,40,45312,80
1632657873.171971000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45312
1632657874.451215000,,0x00002810,10.1.0.11,172.217.13.138,52,58612,443
1632657874.452201000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58612
1632657874.707227000,,0x0000f344,10.1.0.11,172.217.13.138,52,58614,443
1632657874.708345000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58614
1632657883.411217000,,0x00008c0b,10.1.0.11,169.254.169.254,40,45320,80
1632657883.411611000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45320
1632657889.555216000,,0x00002811,10.1.0.11,172.217.13.138,52,58612,443
1632657889.556156000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58612
1632657889.811205000,,0x0000f345,10.1.0.11,172.217.13.138,52,58614,443
1632657889.812350000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58614
1632657893.063923000,,,,,,,
1632657893.063941000,,,,,,,
1632657902.059889000,,0x00000000,169.254.169.254,10.1.0.11,4340,80,45312
1632657902.059983000,,0x00005918,10.1.0.11,169.254.169.254,40,45312,80
1632657902.060519000,,0x00005919,10.1.0.11,169.254.169.254,267,45312,80
1632657902.060670000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45312
1632657902.060724000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45312
1632657903.021144000,,0x00000000,172.217.13.138,10.1.0.11,125,443,58612
1632657903.021176000,,0x00002812,10.1.0.11,172.217.13.138,52,58612,443
1632657903.021361000,,0x00002813,10.1.0.11,172.217.13.138,76,58612,443
1632657903.021385000,,0x00002814,10.1.0.11,172.217.13.138,52,58612,443
1632657903.021915000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58612
1632657903.022439000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58612
1632657903.022448000,,0x00002815,10.1.0.11,172.217.13.138,52,58612,443
1632657903.022622000,,0x00000568,10.1.0.11,172.217.13.138,60,58618,443
1632657903.023041000,,0x00000000,172.217.13.138,10.1.0.11,60,443,58618
1632657903.023064000,0.000442000,0x00000569,10.1.0.11,172.217.13.138,52,58618,443
1632657903.023293000,0.000442000,0x0000056a,10.1.0.11,172.217.13.138,339,58618,443
1632657903.023461000,0.000442000,0x00000000,172.217.13.138,10.1.0.11,52,443,58618
1632657903.024107000,0.000442000,0x00000000,172.217.13.138,10.1.0.11,4805,443,58618
1632657903.024126000,0.000442000,0x0000056b,10.1.0.11,172.217.13.138,52,58618,443
1632657903.025642000,0.000442000,0x0000056c,10.1.0.11,172.217.13.138,116,58618,443
1632657903.025700000,0.000442000,0x0000056d,10.1.0.11,172.217.13.138,129,58618,443
1632657903.025867000,0.000442000,0x00000000,172.217.13.138,10.1.0.11,114,443,58618
1632657903.025876000,0.000442000,0x0000056e,10.1.0.11,172.217.13.138,52,58618,443
1632657903.025926000,0.000442000,0x00000000,172.217.13.138,10.1.0.11,83,443,58618
1632657903.025929000,0.000442000,0x0000056f,10.1.0.11,172.217.13.138,52,58618,443
1632657903.026001000,0.000442000,0x00000570,10.1.0.11,172.217.13.138,83,58618,443
1632657903.031560000,0.000442000,0x00000000,172.217.13.138,10.1.0.11,52,443,58618
1632657903.231631000,,0x00000000,172.217.13.138,10.1.0.11,125,443,58614
1632657903.231660000,,0x0000f346,10.1.0.11,172.217.13.138,52,58614,443
1632657903.231815000,,0x0000f347,10.1.0.11,172.217.13.138,76,58614,443
1632657903.231842000,,0x0000f348,10.1.0.11,172.217.13.138,52,58614,443
1632657903.232454000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58614
1632657903.232454000,,0x00000000,172.217.13.138,10.1.0.11,52,443,58614
1632657903.232466000,,0x0000f349,10.1.0.11,172.217.13.138,52,58614,443
1632657903.232506000,,0x00006588,10.1.0.11,172.217.13.138,60,58620,443
1632657903.233537000,,0x00000000,172.217.13.138,10.1.0.11,60,443,58620
1632657903.233559000,0.001053000,0x00006589,10.1.0.11,172.217.13.138,52,58620,443
1632657903.233765000,0.001053000,0x0000658a,10.1.0.11,172.217.13.138,339,58620,443
1632657903.233940000,0.001053000,0x00000000,172.217.13.138,10.1.0.11,52,443,58620
1632657903.234422000,0.001053000,0x00000000,172.217.13.138,10.1.0.11,4805,443,58620
1632657903.234439000,0.001053000,0x0000658b,10.1.0.11,172.217.13.138,52,58620,443
1632657903.236006000,0.001053000,0x0000658c,10.1.0.11,172.217.13.138,116,58620,443
1632657903.236069000,0.001053000,0x0000658d,10.1.0.11,172.217.13.138,129,58620,443
1632657903.236221000,0.001053000,0x00000000,172.217.13.138,10.1.0.11,114,443,58620
1632657903.236234000,0.001053000,0x0000658e,10.1.0.11,172.217.13.138,52,58620,443
1632657903.236245000,0.001053000,0x00000000,172.217.13.138,10.1.0.11,83,443,58620
1632657903.236248000,0.001053000,0x0000658f,10.1.0.11,172.217.13.138,52,58620,443
1632657903.236366000,0.001053000,0x00006590,10.1.0.11,172.217.13.138,83,58620,443
1632657903.241448000,0.001053000,0x00000000,172.217.13.138,10.1.0.11,52,443,58620
1632657913.232569000,,0x00000000,169.254.169.254,10.1.0.11,4340,80,45320
1632657913.232712000,,0x00008c0c,10.1.0.11,169.254.169.254,40,45320,80
1632657913.233700000,,0x00008c0d,10.1.0.11,169.254.169.254,277,45320,80
1632657913.233904000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45320
1632657913.234018000,,0x00000000,169.254.169.254,10.1.0.11,40,80,45320
1632657915.125354000,,0x000040de,10.1.0.11,169.254.169.254,76,,
1632657915.125815000,,0x00000000,169.254.169.254,10.1.0.11,76,,
1632657918.227242000,0.000442000,0x00000571,10.1.0.11,172.217.13.138,52,58618,443
1632657918.228239000,0.000442000,0x00000000,172.217.13.138,10.1.0.11,52,443,58618
1632657918.483242000,0.001053000,0x00006591,10.1.0.11,172.217.13.138,52,58620,443
