timestamp,cpu_util_experiment-baseline-with-latency-3-node-instance-2,io_read_experiment-baseline-with-latency-3-node-instance-2,io_write_experiment-baseline-with-latency-3-node-instance-2,iops_read_experiment-baseline-with-latency-3-node-instance-2,iops_write_experiment-baseline-with-latency-3-node-instance-2,cpu_util_experiment-baseline-with-latency-3-node-instance-3,io_read_experiment-baseline-with-latency-3-node-instance-3,io_write_experiment-baseline-with-latency-3-node-instance-3,iops_read_experiment-baseline-with-latency-3-node-instance-3,iops_write_experiment-baseline-with-latency-3-node-instance-3,cpu_util_experiment-baseline-with-latency-3-node-instance-1,io_read_experiment-baseline-with-latency-3-node-instance-1,io_write_experiment-baseline-with-latency-3-node-instance-1,iops_read_experiment-baseline-with-latency-3-node-instance-1,iops_write_experiment-baseline-with-latency-3-node-instance-1,cpu_util_experiment-baseline-with-latency-3-test-orchestrator,io_read_experiment-baseline-with-latency-3-test-orchestrator,io_write_experiment-baseline-with-latency-3-test-orchestrator,iops_read_experiment-baseline-with-latency-3-test-orchestrator,iops_write_experiment-baseline-with-latency-3-test-orchestrator,cpu_util_experiment-baseline-with-latency-3-central-server,io_read_experiment-baseline-with-latency-3-central-server,io_write_experiment-baseline-with-latency-3-central-server,iops_read_experiment-baseline-with-latency-3-central-server,iops_write_experiment-baseline-with-latency-3-central-server,cpu_util_experiment-baseline-with-latency-3-client-instance,io_read_experiment-baseline-with-latency-3-client-instance,io_write_experiment-baseline-with-latency-3-client-instance,iops_read_experiment-baseline-with-latency-3-client-instance,iops_write_experiment-baseline-with-latency-3-client-instance
2021-09-26 12:49:00,0.0016353435026355593,0.0,0.0,0.0,0.0,0.0012080487484780634,0.0,0.0,0.0,0.0,0.001157974057323467,0.0,0.0,0.0,0.0,0.0010768902638962647,0.0,0.0,0.0,0.0,0.006686427471244845,0.0,0.0,0.0,0.0,0.001225699131405141,0.0,0.0,0.0,0.0
2021-09-26 12:48:00,0.001863239647029502,0.0,0.0,0.0,0.0,0.0013265569855467636,0.0,0.0,0.0,0.0,0.0012787965577606049,0.0,0.0,0.0,0.0,0.0011976023757123736,0.0,0.0,0.0,0.0,0.0067475916587170556,0.0,0.0,0.0,0.0,0.0012381761863489752,0.0,0.0,0.0,0.0
2021-09-26 12:47:00,0.001254244198329957,0.0,0.0,0.0,0.0,0.0011754898842137134,0.0,0.0,0.0,0.0,0.0011599356809028905,0.0,0.0,0.0,0.0,0.0011000826436410687,0.0,0.0,0.0,0.0,0.006846033729796375,0.0,0.0,0.0,0.0,0.0011895615291805939,0.0,0.0,0.0,0.0
2021-09-26 12:46:00,0.0015094177565425563,0.0,0.0,0.0,0.0,0.0012708982997395423,0.0,0.0,0.0,0.0,0.0014173453214766595,0.0,0.0,0.0,0.0,0.0014236400181971477,0.0,0.0,0.0,0.0,0.007014937454278917,0.0,0.0,0.0,0.0,0.0012962461292872264,0.0,0.0,0.0,0.0
2021-09-26 12:45:00,0.0018872429684999284,0.0,0.0,0.0,0.0,0.0012502191062632544,0.0,0.0,0.0,0.0,0.0011307527656091072,0.0,0.0,0.0,0.0,0.0031908712461330424,0.0,0.0,0.0,0.0,0.006815483607527995,0.0,0.0,0.0,0.0,0.0012024841585102307,0.0,0.0,0.0,0.0
2021-09-26 12:44:00,0.0017014944268415396,0.0,0.0,0.0,0.0,0.0015868864922339299,0.0,0.0,0.0,0.0,0.0013055780689612106,0.0,0.0,0.0,0.0,0.0035521137856520113,0.0,0.0,0.0,0.0,0.006994555677070006,0.0,0.0,0.0,0.0,0.00126949442879436,0.0,0.0,0.0,0.0
2021-09-26 12:43:00,0.00489351696039743,0.0,0.0,0.0,0.0,0.004873674198131539,0.0,0.0,0.0,0.0,0.001157589105047426,0.0,0.0,0.0,0.0,0.0033324963712030825,0.0,0.0,0.0,0.0,0.006868522188779972,0.0,0.0,0.0,0.0,0.0011872748386911288,0.0,0.0,0.0,0.0
2021-09-26 12:42:00,0.001444685019877075,0.0,0.0,0.0,0.0,0.0012823511805431546,0.0,0.0,0.0,0.0,0.0013527545085556389,0.0,0.0,0.0,0.0,0.003914412609453422,0.0,0.0,0.0,0.0,0.007085807211385031,0.0,0.0,0.0,0.0,0.001309025138518886,0.0,0.0,0.0,0.0
2021-09-26 12:41:00,0.0013300940304470524,0.0,0.0,0.0,0.0,0.0012620075773715673,0.0,0.0,0.0,0.0,0.0012555867316199473,0.0,0.0,0.0,0.0,0.003609097318238478,0.0,0.0,0.0,0.0,0.007087586957792761,0.0,0.0,0.0,0.0,0.0012567275336166973,0.0,0.0,0.0,0.0
2021-09-26 12:40:00,0.0013066588630257078,0.0,0.0,0.0,0.0,0.0012425864878882937,0.0,0.0,0.0,0.0,0.0012035897735676333,0.0,0.0,0.0,0.0,0.0021089159085898737,0.0,0.0,0.0,0.0,0.007103075301529789,0.0,0.0,0.0,0.0,0.0011986627615674667,0.0,0.0,0.0,0.0
