frame.time_epoch,tcp.analysis.initial_rtt,ip.id,ip.src,ip.dst,ip.len,tcp.srcport,tcp.dstport
1632067179.376606000,,0x0000a9f7,10.1.0.2,169.254.169.254,78,,
1632067179.376708000,,0x0000a9f8,10.1.0.2,169.254.169.254,78,,
1632067179.379223000,,0x00000000,169.254.169.254,10.1.0.2,134,,
1632067179.411787000,,0x00000000,169.254.169.254,10.1.0.2,142,,
1632067179.412517000,,0x00004c3d,10.1.0.2,91.189.88.184,60,37664,443
1632067180.425441000,,0x00004c3e,10.1.0.2,91.189.88.184,60,37664,443
1632067182.441416000,,0x00004c3f,10.1.0.2,91.189.88.184,60,37664,443
1632067186.601418000,,0x00004c40,10.1.0.2,91.189.88.184,60,37664,443
1632067186.973390000,,,,,,,
1632067186.973413000,,,,,,,
1632067192.872017000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38812
1632067192.872193000,,0x0000704e,10.1.0.2,169.254.169.254,40,38812,80
1632067192.872285000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38794
1632067192.872995000,,0x0000704f,10.1.0.2,169.254.169.254,277,38812,80
1632067192.873087000,,0x000078fc,10.1.0.2,169.254.169.254,40,38794,80
1632067192.873218000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067192.873245000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067192.873728000,,0x000078fd,10.1.0.2,169.254.169.254,267,38794,80
1632067192.873918000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067192.873966000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067194.793415000,,0x00004c41,10.1.0.2,91.189.88.184,60,37664,443
1632067199.432882000,,0x0000191d,10.1.0.2,91.189.91.48,60,40448,443
1632067200.457426000,,0x0000191e,10.1.0.2,91.189.91.48,60,40448,443
1632067202.473411000,,0x0000191f,10.1.0.2,91.189.91.48,60,40448,443
1632067206.569401000,,0x00001920,10.1.0.2,91.189.91.48,60,40448,443
1632067207.593404000,,,,,,,
1632067207.593818000,,,,,,,
1632067214.761410000,,0x00001921,10.1.0.2,91.189.91.48,60,40448,443
1632067219.453184000,,0x00002e72,10.1.0.2,91.189.88.185,60,40292,443
1632067220.009666000,,0x0000afea,10.1.0.2,169.254.169.254,76,,
1632067220.010057000,,0x00000000,169.254.169.254,10.1.0.2,76,,
1632067220.457415000,,0x00002e73,10.1.0.2,91.189.88.185,60,40292,443
1632067222.473407000,,0x00002e74,10.1.0.2,91.189.88.185,60,40292,443
1632067224.745440000,,0x00007050,10.1.0.2,169.254.169.254,40,38812,80
1632067224.745455000,,0x000078fe,10.1.0.2,169.254.169.254,40,38794,80
1632067224.745821000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067224.745821000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067226.537418000,,0x00002e75,10.1.0.2,91.189.88.185,60,40292,443
1632067234.729425000,,0x00002e76,10.1.0.2,91.189.88.185,60,40292,443
1632067239.465585000,,0x000078e7,10.1.0.2,91.189.91.49,60,56752,443
1632067240.489421000,,0x000078e8,10.1.0.2,91.189.91.49,60,56752,443
1632067242.505429000,,0x000078e9,10.1.0.2,91.189.91.49,60,56752,443
1632067246.761416000,,0x000078ea,10.1.0.2,91.189.91.49,60,56752,443
1632067246.973250000,,,,,,,
1632067246.973267000,,,,,,,
1632067251.881395000,,,,,,,
1632067251.881627000,,,,,,,
1632067252.890813000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38794
1632067252.890929000,,0x000078ff,10.1.0.2,169.254.169.254,40,38794,80
1632067252.891108000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38812
1632067252.891163000,,0x00007051,10.1.0.2,169.254.169.254,40,38812,80
1632067252.891843000,,0x00007052,10.1.0.2,169.254.169.254,277,38812,80
1632067252.891930000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067252.892056000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067252.892284000,,0x00007900,10.1.0.2,169.254.169.254,267,38794,80
1632067252.892391000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067252.892398000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067254.953426000,,0x000078eb,10.1.0.2,91.189.91.49,60,56752,443
1632067284.137427000,,0x00007053,10.1.0.2,169.254.169.254,40,38812,80
1632067284.137438000,,0x00007901,10.1.0.2,169.254.169.254,40,38794,80
1632067284.137842000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067284.137842000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067284.857564000,,0x0000c9c5,10.1.0.2,169.254.169.254,76,,
1632067284.857896000,,0x00000000,169.254.169.254,10.1.0.2,76,,
1632067300.956717000,,0x0000f42e,10.1.0.2,92.60.39.199,60,59880,443
1632067301.961412000,,0x0000f42f,10.1.0.2,92.60.39.199,60,59880,443
1632067303.977425000,,0x0000f430,10.1.0.2,92.60.39.199,60,59880,443
1632067306.973371000,,,,,,,
1632067306.973389000,,,,,,,
1632067308.201414000,,0x0000f431,10.1.0.2,92.60.39.199,60,59880,443
1632067310.721294000,,0x0000dfaa,10.1.0.2,169.254.169.254,79,,
1632067310.721414000,,0x0000dfab,10.1.0.2,169.254.169.254,79,,
1632067310.723719000,,0x00000000,169.254.169.254,10.1.0.2,107,,
1632067310.724585000,,0x00000000,169.254.169.254,10.1.0.2,95,,
1632067310.724970000,,0x00007427,10.1.0.2,209.85.234.95,60,46152,443
1632067311.753423000,,0x00007428,10.1.0.2,209.85.234.95,60,46152,443
1632067312.908635000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38794
1632067312.908740000,,0x00007902,10.1.0.2,169.254.169.254,40,38794,80
1632067312.909057000,,0x00007903,10.1.0.2,169.254.169.254,267,38794,80
1632067312.909089000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38812
1632067312.909135000,,0x00007054,10.1.0.2,169.254.169.254,40,38812,80
1632067312.909251000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067312.909349000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067312.909817000,,0x00007055,10.1.0.2,169.254.169.254,277,38812,80
1632067312.909978000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067312.910043000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067313.769420000,,0x00007429,10.1.0.2,209.85.234.95,60,46152,443
1632067316.393421000,,0x0000f432,10.1.0.2,92.60.39.199,60,59880,443
1632067317.929404000,,0x0000742a,10.1.0.2,209.85.234.95,60,46152,443
1632067326.121437000,,0x0000742b,10.1.0.2,209.85.234.95,60,46152,443
1632067332.521415000,,0x0000f433,10.1.0.2,92.60.39.199,60,59880,443
1632067332.710091000,,0x000051c3,10.1.0.2,209.85.234.95,60,46154,443
1632067333.737416000,,0x000051c4,10.1.0.2,209.85.234.95,60,46154,443
1632067335.753440000,,0x000051c5,10.1.0.2,209.85.234.95,60,46154,443
1632067339.945426000,,0x000051c6,10.1.0.2,209.85.234.95,60,46154,443
1632067342.249421000,,0x0000742c,10.1.0.2,209.85.234.95,60,46152,443
1632067343.529438000,,0x00007056,10.1.0.2,169.254.169.254,40,38812,80
1632067343.529454000,,0x00007904,10.1.0.2,169.254.169.254,40,38794,80
1632067343.529948000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067343.529948000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067348.137425000,,0x000051c7,10.1.0.2,209.85.234.95,60,46154,443
1632067349.897608000,,0x0000ee0c,10.1.0.2,169.254.169.254,76,,
1632067349.897998000,,0x00000000,169.254.169.254,10.1.0.2,76,,
1632067364.265445000,,0x000051c8,10.1.0.2,209.85.234.95,60,46154,443
1632067366.057411000,,0x0000f434,10.1.0.2,92.60.39.199,60,59880,443
1632067366.973302000,,,,,,,
1632067366.973318000,,,,,,,
1632067372.925697000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38794
1632067372.925830000,,0x00007905,10.1.0.2,169.254.169.254,40,38794,80
1632067372.925983000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38812
1632067372.925995000,,0x00007057,10.1.0.2,169.254.169.254,40,38812,80
1632067372.926633000,,0x00007058,10.1.0.2,169.254.169.254,277,38812,80
1632067372.926839000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067372.926912000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067372.926918000,,0x00007906,10.1.0.2,169.254.169.254,267,38794,80
1632067372.927081000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067372.927143000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067376.297428000,,0x0000742d,10.1.0.2,209.85.234.95,60,46152,443
1632067396.777404000,,0x000051c9,10.1.0.2,209.85.234.95,60,46154,443
1632067404.969407000,,0x00007059,10.1.0.2,169.254.169.254,40,38812,80
1632067404.969419000,,0x00007907,10.1.0.2,169.254.169.254,40,38794,80
1632067404.969810000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067404.969810000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067426.973405000,,,,,,,
1632067426.973428000,,,,,,,
1632067432.943630000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38812
1632067432.943684000,,0x0000705a,10.1.0.2,169.254.169.254,40,38812,80
1632067432.943930000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38794
1632067432.943956000,,0x00007908,10.1.0.2,169.254.169.254,40,38794,80
1632067432.944469000,,0x0000705b,10.1.0.2,169.254.169.254,277,38812,80
1632067432.944559000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067432.944628000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067432.944999000,,0x00007909,10.1.0.2,169.254.169.254,267,38794,80
1632067432.945127000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067432.945206000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067464.361422000,,0x0000705c,10.1.0.2,169.254.169.254,40,38812,80
1632067464.361497000,,0x0000790a,10.1.0.2,169.254.169.254,40,38794,80
1632067464.362071000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067464.362071000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067479.877550000,,0x00000dd9,10.1.0.2,169.254.169.254,76,,
1632067479.877979000,,0x00000000,169.254.169.254,10.1.0.2,76,,
1632067486.973310000,,,,,,,
1632067486.973325000,,,,,,,
1632067492.960628000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38812
1632067492.960665000,,0x0000705d,10.1.0.2,169.254.169.254,40,38812,80
1632067492.961540000,,0x0000705e,10.1.0.2,169.254.169.254,277,38812,80
1632067492.961639000,,0x00000000,169.254.169.254,10.1.0.2,3776,80,38794
1632067492.961639000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067492.961656000,,0x0000790b,10.1.0.2,169.254.169.254,40,38794,80
1632067492.961735000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38812
1632067492.962129000,,0x0000790c,10.1.0.2,169.254.169.254,267,38794,80
1632067492.962362000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067492.962405000,,0x00000000,169.254.169.254,10.1.0.2,40,80,38794
1632067500.866561000,,0x00005c64,10.1.0.2,10.1.0.3,60,47578,27017
1632067500.867972000,,0x00000000,10.1.0.3,10.1.0.2,60,27017,47578
1632067500.868005000,0.001444000,0x00005c65,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.868358000,0.001444000,0x00005c66,10.1.0.2,10.1.0.3,349,47578,27017
1632067500.868548000,0.001444000,0x0000c5d8,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.868752000,0.001444000,0x0000c5d9,10.1.0.3,10.1.0.2,403,27017,47578
1632067500.868759000,0.001444000,0x00005c67,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.868816000,0.001444000,0x00005c68,10.1.0.2,10.1.0.3,119,47578,27017
1632067500.868948000,0.001444000,0x0000c5da,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.869097000,0.001444000,0x0000c5db,10.1.0.3,10.1.0.2,124,27017,47578
1632067500.869101000,0.001444000,0x00005c69,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.870736000,0.001444000,0x00005c6a,10.1.0.2,10.1.0.3,121,47578,27017
1632067500.870963000,0.001444000,0x0000c5dc,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.871081000,0.001444000,0x0000c5dd,10.1.0.3,10.1.0.2,1523,27017,47578
1632067500.871086000,0.001444000,0x00005c6b,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.871688000,0.001444000,0x00005c6c,10.1.0.2,10.1.0.3,156,47578,27017
1632067500.871996000,0.001444000,0x0000c5df,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.872121000,0.001444000,0x0000c5e0,10.1.0.3,10.1.0.2,1523,27017,47578
1632067500.872124000,0.001444000,0x00005c6d,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.872397000,0.001444000,0x00005c6e,10.1.0.2,10.1.0.3,169,47578,27017
1632067500.872514000,0.001444000,0x0000c5e2,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.872630000,0.001444000,0x0000c5e3,10.1.0.3,10.1.0.2,369,27017,47578
1632067500.872633000,0.001444000,0x00005c6f,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.872937000,0.001444000,0x00005c70,10.1.0.2,10.1.0.3,178,47578,27017
1632067500.873057000,0.001444000,0x0000c5e4,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.873200000,0.001444000,0x0000c5e5,10.1.0.3,10.1.0.2,181,27017,47578
1632067500.873203000,0.001444000,0x00005c71,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.875372000,0.001444000,0x00005c72,10.1.0.2,10.1.0.3,173,47578,27017
1632067500.875520000,0.001444000,0x0000c5e6,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.875605000,0.001444000,0x0000c5e7,10.1.0.3,10.1.0.2,369,27017,47578
1632067500.875609000,0.001444000,0x00005c73,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.876861000,0.001444000,0x00005c74,10.1.0.2,10.1.0.3,288,47578,27017
1632067500.877011000,0.001444000,0x0000c5e8,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.877424000,0.001444000,0x0000c5e9,10.1.0.3,10.1.0.2,3263,27017,47578
1632067500.877429000,0.001444000,0x00005c75,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.878435000,0.001444000,0x00005c76,10.1.0.2,10.1.0.3,188,47578,27017
1632067500.878594000,0.001444000,0x0000c5ec,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.879408000,0.001444000,0x0000c5ed,10.1.0.3,10.1.0.2,7092,27017,47578
1632067500.879408000,0.001444000,0x0000c5f2,10.1.0.3,10.1.0.2,7092,27017,47578
1632067500.879432000,0.001444000,0x00005c77,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.879541000,0.001444000,0x0000c5f7,10.1.0.3,10.1.0.2,492,27017,47578
1632067500.879549000,0.001444000,0x00005c78,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.921561000,0.001444000,0x00005c79,10.1.0.2,10.1.0.3,173,47578,27017
1632067500.921839000,0.001444000,0x0000c5f8,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.921980000,0.001444000,0x0000c5f9,10.1.0.3,10.1.0.2,369,27017,47578
1632067500.922002000,0.001444000,0x00005c7a,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.924108000,0.001444000,0x00005c7b,10.1.0.2,10.1.0.3,153,47578,27017
1632067500.924394000,0.001444000,0x0000c5fa,10.1.0.3,10.1.0.2,100,27017,47578
1632067500.924414000,0.001444000,0x00005c7c,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.924443000,,0x00005c7d,10.1.0.2,10.1.0.3,52,47578,27017
1632067500.924647000,0.001444000,0x0000c5fb,10.1.0.3,10.1.0.2,52,27017,47578
1632067500.924652000,0.001444000,0x00005c7e,10.1.0.2,10.1.0.3,52,47578,27017
1632067501.585476000,,0x0000ef63,10.1.0.2,10.1.0.3,60,47580,27017
1632067501.585687000,,0x00000000,10.1.0.3,10.1.0.2,60,27017,47580
1632067501.585703000,0.000227000,0x0000ef64,10.1.0.2,10.1.0.3,52,47580,27017
1632067501.585979000,0.000227000,0x0000ef65,10.1.0.2,10.1.0.3,349,47580,27017
1632067501.586085000,0.000227000,0x000084b1,10.1.0.3,10.1.0.2,52,27017,47580
1632067501.586365000,0.000227000,0x000084b2,10.1.0.3,10.1.0.2,403,27017,47580
1632067501.586372000,0.000227000,0x0000ef66,10.1.0.2,10.1.0.3,52,47580,27017
1632067501.586437000,0.000227000,0x0000ef67,10.1.0.2,10.1.0.3,119,47580,27017
1632067501.586517000,0.000227000,0x000084b3,10.1.0.3,10.1.0.2,52,27017,47580
1632067501.586582000,0.000227000,0x000084b4,10.1.0.3,10.1.0.2,124,27017,47580
1632067501.586584000,0.000227000,0x0000ef68,10.1.0.2,10.1.0.3,52,47580,27017
1632067501.588209000,0.000227000,0x0000ef69,10.1.0.2,10.1.0.3,121,47580,27017
1632067501.588378000,0.000227000,0x000084b5,10.1.0.3,10.1.0.2,52,27017,47580
1632067501.588504000,0.000227000,0x000084b6,10.1.0.3,10.1.0.2,1523,27017,47580
1632067501.588508000,0.000227000,0x0000ef6a,10.1.0.2,10.1.0.3,52,47580,27017
1632067501.589179000,0.000227000,0x0000ef6b,10.1.0.2,10.1.0.3,156,47580,27017
1632067501.589330000,0.000227000,0x000084b8,10.1.0.3,10.1.0.2,52,27017,47580
1632067501.589424000,0.000227000,0x000084b9,10.1.0.3,10.1.0.2,1523,27017,47580
